GameID,Week,Day,DateStamp,Vteam,VQ1,VQ2,VQ3,VQ4,Year,Hteam,HQ1,HQ2,HQ3,HQ4,Date,Time,Winner/tie,Unnamed: 18,Loser/tie
200009030min,1,Sun,2000-09-03,Bears,7,6,7,7,2000,Vikings,6,3,7,14,9/3/2000,1:00PM,Minnesota Vikings,,Chicago Bears
200009030kan,1,Sun,2000-09-03,Colts,0,7,7,13,2000,Chiefs,0,7,7,0,9/3/2000,1:00PM,Indianapolis Colts,@,Kansas City Chiefs
200009030was,1,Sun,2000-09-03,Panthers,10,0,0,7,2000,Redskins,7,0,3,10,9/3/2000,1:01PM,Washington Redskins,,Carolina Panthers
200009030atl,1,Sun,2000-09-03,49ers,7,7,7,7,2000,Falcons,6,16,14,0,9/3/2000,1:02PM,Atlanta Falcons,,San Francisco 49ers
200009030pit,1,Sun,2000-09-03,Ravens,10,3,3,0,2000,Steelers,0,0,0,0,9/3/2000,1:02PM,Baltimore Ravens,@,Pittsburgh Steelers
200009030cle,1,Sun,2000-09-03,Jaguars,0,10,10,7,2000,Browns,0,7,0,0,9/3/2000,1:02PM,Tampa Bay Buccaneers,@,New England Patriots
200009030nwe,1,Sun,2000-09-03,Buccaneers,0,14,7,0,2000,Patriots,3,7,0,6,9/3/2000,1:02PM,Jacksonville Jaguars,@,Cleveland Browns
200009030nor,1,Sun,2000-09-03,Lions,0,6,8,0,2000,Saints,7,0,0,3,9/3/2000,1:03PM,Detroit Lions,@,New Orleans Saints
200009030nyg,1,Sun,2000-09-03,Cardinals,0,0,3,13,2000,Giants,7,7,0,7,9/3/2000,1:04PM,New York Giants,,Arizona Cardinals
200009030dal,1,Sun,2000-09-03,Eagles,14,10,3,14,2000,Cowboys,0,6,0,8,9/3/2000,4:05PM,Philadelphia Eagles,@,Dallas Cowboys
200009030rai,1,Sun,2000-09-03,Chargers,0,0,0,6,2000,Raiders,0,0,2,7,9/3/2000,4:15PM,Oakland Raiders,,San Diego Chargers
