,HQ3
0,7
1,7
2,3
3,14
4,0
5,0
6,0
7,0
8,0
9,0
10,2
11,0
12,3
13,3
14,14
15,0
16,0
17,0
18,14
19,10
20,15
21,9
22,0
23,0
24,7
25,10
26,3
27,8
28,10
29,0
30,0
31,3
32,3
33,0
34,7
35,3
36,0
37,0
38,0
39,14
40,3
41,0
42,7
43,7
44,0
45,3
46,14
47,0
48,0
49,0
50,0
51,0
52,7
53,0
54,10
55,0
56,0
57,5
58,0
59,0
60,0
61,17
62,0
63,0
64,0
65,0
66,8
67,7
68,7
69,3
70,11
71,7
72,0
73,0
74,7
75,0
76,2
77,0
78,0
79,0
80,3
81,3
82,0
83,10
84,0
85,3
86,0
87,0
88,3
89,0
90,8
91,6
92,0
93,0
94,0
95,14
96,7
97,7
98,0
99,7
100,0
101,14
102,7
103,13
104,7
105,7
106,7
107,0
108,3
109,0
110,0
111,3
112,0
113,0
114,3
115,0
116,21
117,0
118,0
119,3
120,0
121,0
122,7
123,0
124,3
125,0
126,7
127,7
128,0
129,3
130,7
131,0
132,7
133,0
134,0
135,7
136,0
137,7
138,6
139,0
140,10
141,14
142,10
143,13
144,7
145,7
146,0
147,0
148,7
149,0
150,0
151,3
152,0
153,0
154,0
155,10
156,3
157,14
158,7
159,7
160,0
161,7
162,6
163,0
164,14
165,14
166,0
167,0
168,7
169,0
170,7
171,0
172,7
173,7
174,0
175,0
176,6
177,3
178,7
179,7
180,0
181,14
182,0
183,0
184,3
185,10
186,7
187,7
188,0
189,7
190,0
191,0
192,0
193,3
194,7
195,0
196,7
197,0
198,0
199,0
200,21
201,0
202,7
203,3
204,7
205,14
206,3
207,10
208,10
209,7
210,7
211,0
212,10
213,0
214,10
215,13
216,0
217,14
218,0
219,0
220,7
221,7
222,0
223,7
224,0
225,7
226,0
227,13
228,7
229,7
230,7
231,0
232,7
233,0
234,21
235,3
236,0
237,0
238,3
239,7
240,7
241,0
242,0
243,6
244,7
245,7
246,14
247,24
248,7
249,7
250,7
251,0
252,10
253,7
254,3
255,0
256,7
257,3
258,7
259,3
260,7
261,3
262,13
263,0
264,7
265,13
266,3
267,0
268,0
269,0
270,0
271,0
272,7
273,7
274,3
275,3
276,7
277,3
278,3
279,14
280,7
281,0
282,10
283,0
284,0
285,0
286,0
287,10
288,7
289,3
290,3
291,0
292,3
293,0
294,0
295,7
296,14
297,3
298,14
299,14
300,7
301,3
302,10
303,3
304,0
305,0
306,10
307,0
308,0
309,0
310,7
311,3
312,7
313,0
314,0
315,14
316,0
317,0
318,0
319,7
320,7
321,10
322,6
323,7
324,7
325,0
326,0
327,14
328,7
329,6
330,0
331,7
332,0
333,0
334,11
335,0
336,0
337,0
338,14
339,0
340,7
341,0
342,7
343,0
344,11
345,14
346,3
347,13
348,0
349,3
350,7
351,0
352,14
353,14
354,10
355,0
356,3
357,10
358,0
359,0
360,0
361,0
362,7
363,7
364,7
365,7
366,0
367,7
368,0
369,10
370,9
371,7
372,14
373,3
374,7
375,13
376,14
377,3
378,21
379,7
380,3
381,6
382,7
383,0
384,3
385,14
386,10
387,10
388,3
389,7
390,0
391,3
392,0
393,3
394,0
395,3
396,7
397,7
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,7
406,7
407,0
408,0
409,3
410,3
411,0
412,0
413,7
414,7
415,3
416,8
417,7
418,14
419,10
420,0
421,0
422,0
423,3
424,0
425,3
426,3
427,7
428,7
429,0
430,7
431,8
432,14
433,0
434,3
435,7
436,0
437,6
438,7
439,3
440,0
441,0
442,0
443,0
444,7
445,10
446,0
447,0
448,0
449,0
450,7
451,3
452,0
453,7
454,0
455,7
456,7
457,3
458,0
459,2
460,0
461,7
462,0
463,3
464,0
465,0
466,3
467,10
468,3
469,3
470,0
471,10
472,0
473,10
474,0
475,0
476,7
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,14
486,7
487,0
488,0
489,0
490,3
491,0
492,0
493,3
494,14
495,6
496,3
497,10
498,3
499,7
500,0
501,14
502,3
503,7
504,0
505,0
506,3
507,7
508,0
509,9
510,0
511,7
512,3
513,0
514,14
515,14
516,9
517,3
518,0
519,14
520,7
521,3
522,14
523,10
524,3
525,0
526,7
527,14
528,3
529,7
530,3
531,0
532,0
533,17
534,0
535,0
536,7
537,0
538,7
539,0
540,3
541,7
542,14
543,7
544,0
545,0
546,0
547,13
548,7
549,0
550,0
551,3
552,0
553,14
554,8
555,0
556,0
557,0
558,7
559,3
560,3
561,0
562,7
563,0
564,7
565,0
566,14
567,0
568,8
569,3
570,3
571,3
572,0
573,0
574,7
575,7
576,0
577,3
578,0
579,10
580,10
581,6
582,7
583,3
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,7
594,0
595,0
596,0
597,7
598,0
599,7
600,0
601,0
602,0
603,7
604,3
605,7
606,14
607,7
608,10
609,10
610,3
611,3
612,0
613,14
614,7
615,17
616,3
617,0
618,0
619,7
620,12
621,7
622,8
623,3
624,10
625,6
626,0
627,15
628,7
629,0
630,3
631,3
632,0
633,0
634,0
635,7
636,0
637,0
638,0
639,6
640,0
641,3
642,6
643,0
644,0
645,0
646,10
647,10
648,3
649,14
650,7
651,10
652,10
653,7
654,7
655,0
656,13
657,0
658,0
659,21
660,0
661,0
662,7
663,0
664,0
665,7
666,3
667,3
668,14
669,6
670,7
671,0
