,GameID,Week,Day,DateStamp,Vteam,VQ1,VQ2,VQ3,VQ4,Year,Time
0,200009030min,1,Sun,2000-09-03,Bears,7,6,7,7,2000,1:00PM
1,200009030kan,1,Sun,2000-09-03,Colts,0,7,7,13,2000,1:00PM
2,200009030was,1,Sun,2000-09-03,Panthers,10,0,0,7,2000,1:01PM
3,200009030atl,1,Sun,2000-09-03,49ers,7,7,7,7,2000,1:02PM
4,200009030pit,1,Sun,2000-09-03,Ravens,10,3,3,0,2000,1:02PM
5,200009030cle,1,Sun,2000-09-03,Jaguars,0,10,10,7,2000,1:02PM
6,200009030nwe,1,Sun,2000-09-03,Buccaneers,0,14,7,0,2000,1:02PM
7,200009030nor,1,Sun,2000-09-03,Lions,0,6,8,0,2000,1:03PM
8,200009030nyg,1,Sun,2000-09-03,Cardinals,0,0,3,13,2000,1:04PM
9,200009030dal,1,Sun,2000-09-03,Eagles,14,10,3,14,2000,4:05PM
10,200009030rai,1,Sun,2000-09-03,Chargers,0,0,0,6,2000,4:15PM
11,200009030mia,1,Sun,2000-09-03,Seahawks,0,0,0,0,2000,4:16PM
12,200009030gnb,1,Sun,2000-09-03,Jets,7,3,0,10,2000,4:20PM
13,200009030buf,1,Sun,2000-09-03,Titans,0,6,0,7,2000,8:35PM
14,200009040ram,1,Mon,2000-09-04,Broncos,7,10,10,9,2000,9:07PM
15,200009100min,2,Sun,2000-09-10,Dolphins,0,0,0,7,2000,12:00PM
16,200009100cin,2,Sun,2000-09-10,Browns,7,7,3,7,2000,1:00PM
17,200009100clt,2,Sun,2000-09-10,Raiders,0,7,24,7,2000,1:00PM
18,200009100tam,2,Sun,2000-09-10,Bears,0,0,0,0,2000,1:01PM
19,200009100buf,2,Sun,2000-09-10,Packers,0,0,10,8,2000,1:01PM
20,200009100rav,2,Sun,2000-09-10,Jaguars,17,6,3,10,2000,1:02PM
21,200009100phi,2,Sun,2000-09-10,Giants,3,17,7,6,2000,1:02PM
