GameID,Week,Vteam,VQ1,VQ2,VQ3,VQ4,Year,Hteam,HQ1,HQ2,HQ3,HQ4
200009030min,1,Bears,7,6,7,7,2000,Vikings,6,3,7,14
200009030kan,1,Colts,0,7,7,13,2000,Chiefs,0,7,7,0
200009030was,1,Panthers,10,0,0,7,2000,Redskins,7,0,3,10
200009030atl,1,49ers,7,7,7,7,2000,Falcons,6,16,14,0
200009030pit,1,Ravens,10,3,3,0,2000,Steelers,0,0,0,0
200009030cle,1,Jaguars,0,10,10,7,2000,Browns,0,7,0,0
200009030nwe,1,Buccaneers,0,14,7,0,2000,Patriots,3,7,0,6
200009030nor,1,Lions,0,6,8,0,2000,Saints,7,0,0,3
200009030nyg,1,Cardinals,0,0,3,13,2000,Giants,7,7,0,7
200009030dal,1,Eagles,14,10,3,14,2000,Cowboys,0,6,0,8
200009030rai,1,Chargers,0,0,0,6,2000,Raiders,0,0,2,7
200009030mia,1,Seahawks,0,0,0,0,2000,Dolphins,10,13,0,0
200009030gnb,1,Jets,7,3,0,10,2000,Packers,7,3,3,3
200009030buf,1,Titans,0,6,0,7,2000,Bills,0,7,3,6
200009040ram,1,Broncos,7,10,10,9,2000,Rams,7,14,14,6
200009100min,2,Dolphins,0,0,0,7,2000,Vikings,3,0,0,10
200009100cin,2,Browns,7,7,3,7,2000,Bengals,0,7,0,0
200009100clt,2,Raiders,0,7,24,7,2000,Colts,14,10,0,7
200009100tam,2,Bears,0,0,0,0,2000,Buccaneers,0,20,14,7
200009100buf,2,Packers,0,0,10,8,2000,Bills,0,10,10,7
200009100rav,2,Jaguars,17,6,3,10,2000,Ravens,0,7,15,17
200009100phi,2,Giants,3,17,7,6,2000,Eagles,0,3,9,6
200009100oti,2,Chiefs,0,7,0,7,2000,Titans,0,7,0,7
200009100sdg,2,Saints,7,6,6,9,2000,Chargers,3,21,0,3
200009100sfo,2,Panthers,14,14,10,0,2000,49ers,0,0,7,15
200009100sea,2,Rams,3,10,7,17,2000,Seahawks,3,7,10,14
200009100det,2,Redskins,0,7,3,0,2000,Lions,3,3,3,6
200009100den,2,Falcons,0,7,7,0,2000,Broncos,13,21,8,0
200009100crd,2,Cowboys,7,14,3,7,2000,Cardinals,3,10,10,9
200009110nyj,2,Patriots,3,9,0,7,2000,Jets,7,0,0,13
200009170jax,3,Bengals,0,0,0,0,2000,Jaguars,10,0,0,3
200009170cle,3,Steelers,0,10,10,0,2000,Browns,14,0,3,6
200009170gnb,3,Eagles,0,3,0,0,2000,Packers,0,0,3,3
200009170car,3,Falcons,3,7,0,5,2000,Panthers,0,10,0,0
200009170ram,3,49ers,7,10,0,7,2000,Rams,3,14,7,17
200009170nyj,3,Bills,7,7,0,0,2000,Jets,7,14,3,3
200009170det,3,Buccaneers,14,7,3,7,2000,Lions,3,7,0,0
200009170chi,3,Giants,7,0,7,0,2000,Bears,0,7,0,0
200009170rai,3,Broncos,17,7,3,6,2000,Raiders,7,17,0,0
200009170kan,3,Chargers,10,0,0,0,2000,Chiefs,0,14,14,14
200009170sea,3,Saints,7,3,0,0,2000,Seahawks,7,0,3,10
200009170nwe,3,Vikings,7,14,0,0,2000,Patriots,7,0,0,6
200009170mia,3,Ravens,0,0,3,3,2000,Dolphins,3,3,7,6
200009180was,3,Cowboys,7,7,3,10,2000,Redskins,7,0,7,7
200009240pit,4,Titans,10,0,3,10,2000,Steelers,3,3,0,14
200009240rav,4,Bengals,0,0,0,0,2000,Ravens,10,14,3,10
200009240chi,4,Lions,7,7,0,7,2000,Bears,0,0,14,0
200009240nor,4,Eagles,0,14,7,0,2000,Saints,7,0,0,0
200009240atl,4,Rams,3,14,10,14,2000,Falcons,7,6,0,7
200009240mia,4,Patriots,0,3,0,0,2000,Dolphins,0,10,0,0
200009240dal,4,49ers,3,14,10,14,2000,Cowboys,0,10,0,14
200009240crd,4,Packers,7,10,6,6,2000,Cardinals,0,3,0,0
200009240tam,4,Jets,3,3,0,15,2000,Buccaneers,3,7,7,0
200009240sdg,4,Seahawks,10,3,7,0,2000,Chargers,6,6,0,0
200009240den,4,Chiefs,7,0,7,9,2000,Broncos,3,9,10,0
200009240rai,4,Browns,7,0,3,0,2000,Raiders,7,21,0,8
200009240nyg,4,Redskins,0,10,6,0,2000,Giants,0,0,0,6
200009250clt,4,Jaguars,0,14,0,0,2000,Colts,7,14,5,17
200010010buf,5,Colts,0,7,0,11,2000,Bills,3,6,0,7
200010010det,5,Vikings,7,3,7,14,2000,Lions,7,3,0,14
200010010car,5,Cowboys,0,10,3,0,2000,Panthers,0,10,0,3
200010010ram,5,Chargers,3,7,7,14,2000,Rams,17,13,17,10
200010010oti,5,Giants,0,0,7,7,2000,Titans,7,14,0,7
200010010cle,5,Ravens,3,6,3,0,2000,Browns,0,0,0,0
200010010jax,5,Steelers,7,10,7,0,2000,Jaguars,3,3,0,7
200010010cin,5,Dolphins,0,10,14,7,2000,Bengals,10,3,0,3
200010010den,5,Patriots,14,7,7,0,2000,Broncos,0,3,8,8
200010010sfo,5,Cardinals,0,10,0,10,2000,49ers,7,10,7,3
200010010gnb,5,Bears,10,7,7,3,2000,Packers,0,3,7,14
200010010was,5,Buccaneers,7,0,0,10,2000,Redskins,0,7,3,7
200010010phi,5,Falcons,0,0,7,3,2000,Eagles,3,3,11,21
200010020kan,5,Seahawks,7,7,3,0,2000,Chiefs,0,7,7,10
200010080cin,6,Titans,3,7,10,3,2000,Bengals,0,14,0,0
200010080nyj,6,Steelers,3,7,0,10,2000,Jets,0,3,0,0
200010080det,6,Packers,0,6,11,7,2000,Lions,10,14,7,0
200010080nwe,6,Colts,0,10,3,3,2000,Patriots,3,7,0,14
200010080mia,6,Bills,3,0,0,10,2000,Dolphins,3,10,2,7
200010080phi,6,Redskins,7,0,0,10,2000,Eagles,0,7,0,7
200010080chi,6,Saints,0,17,7,7,2000,Bears,7,0,0,3
200010080sfo,6,Raiders,3,3,15,7,2000,49ers,0,14,0,14
200010080atl,6,Giants,10,3,0,0,2000,Falcons,0,3,3,0
200010080car,6,Seahawks,0,0,3,0,2000,Panthers,7,13,3,3
200010080sdg,6,Broncos,7,0,7,7,2000,Chargers,0,7,0,0
200010080crd,6,Browns,7,7,0,7,2000,Cardinals,0,16,10,3
200010080jax,6,Ravens,3,3,3,6,2000,Jaguars,3,0,0,7
200010090min,6,Buccaneers,7,3,6,7,2000,Vikings,7,10,3,10
200010150kan,7,Raiders,7,0,3,10,2000,Chiefs,0,17,0,0
200010150buf,7,Chargers,3,7,14,0,2000,Bills,0,14,0,10
200010150pit,7,Bengals,0,0,0,0,2000,Steelers,7,3,3,2
200010150was,7,Ravens,0,3,0,0,2000,Redskins,0,3,0,7
200010150ram,7,Falcons,14,7,0,8,2000,Rams,7,22,8,8
200010150nyg,7,Cowboys,0,0,14,0,2000,Giants,0,7,6,6
200010150nor,7,Panthers,0,6,0,0,2000,Saints,0,10,0,14
200010150sea,7,Colts,7,13,14,3,2000,Seahawks,0,17,0,7
200010150nwe,7,Jets,14,10,7,3,2000,Patriots,3,7,0,7
200010150den,7,Browns,3,0,7,0,2000,Broncos,3,17,14,10
200010150crd,7,Eagles,7,10,7,9,2000,Cardinals,0,0,7,7
200010150gnb,7,49ers,0,7,7,14,2000,Packers,7,7,7,10
200010150chi,7,Vikings,0,14,7,7,2000,Bears,6,3,0,7
200010160oti,7,Jaguars,3,0,0,10,2000,Titans,7,10,7,3
200010190tam,8,Lions,0,11,3,14,2000,Buccaneers,6,5,0,3
200010220dal,8,Cardinals,0,0,0,7,2000,Cowboys,14,13,14,7
200010220clt,8,Patriots,7,6,10,0,2000,Colts,7,0,7,16
200010220kan,8,Rams,0,14,14,6,2000,Chiefs,20,7,13,14
200010220cin,8,Broncos,7,7,0,7,2000,Bengals,0,10,7,14
200010220min,8,Bills,0,10,7,10,2000,Vikings,3,3,7,18
200010220car,8,49ers,0,13,3,0,2000,Panthers,7,17,7,3
200010220rav,8,Titans,0,7,7,0,2000,Ravens,3,3,0,0
200010220phi,8,Bears,0,0,0,9,2000,Eagles,3,7,3,0
200010220atl,8,Saints,7,0,7,7,2000,Falcons,3,10,0,6
200010220rai,8,Seahawks,3,0,0,0,2000,Raiders,7,14,0,10
200010220pit,8,Browns,0,0,0,0,2000,Steelers,3,10,3,6
200010220jax,8,Redskins,7,14,7,7,2000,Jaguars,3,13,0,0
200010230nyj,8,Dolphins,17,6,7,7,2000,Jets,0,7,0,30
200010290tam,9,Vikings,3,10,0,0,2000,Buccaneers,14,17,3,7
200010290buf,9,Jets,7,0,10,3,2000,Bills,7,10,0,6
200010290mia,9,Packers,10,7,0,3,2000,Dolphins,0,7,21,0
200010290rav,9,Steelers,0,0,9,0,2000,Ravens,0,6,0,0
200010290atl,9,Panthers,3,3,3,3,2000,Falcons,3,0,0,10
200010290cle,9,Bengals,0,7,3,2,2000,Browns,0,0,3,0
200010290clt,9,Lions,0,0,11,7,2000,Colts,7,16,0,7
200010290crd,9,Saints,7,0,7,7,2000,Cardinals,7,3,0,0
200010290sfo,9,Rams,7,7,10,10,2000,49ers,7,10,7,0
200010290nyg,9,Eagles,0,0,0,7,2000,Giants,7,7,0,10
200010290dal,9,Jaguars,0,17,0,0,2000,Cowboys,7,0,3,7
200010290sea,9,Chiefs,7,14,0,3,2000,Seahawks,3,7,0,9
200010290sdg,9,Raiders,9,3,0,3,2000,Chargers,0,0,7,6
200010300was,9,Titans,0,20,0,7,2000,Redskins,7,0,7,7
200011050det,10,Dolphins,14,3,6,0,2000,Lions,0,0,0,8
200011050nor,10,49ers,0,0,7,8,2000,Saints,7,21,3,0
200011050chi,10,Colts,0,0,8,16,2000,Bears,10,10,7,0
200011050nwe,10,Bills,3,7,0,3,2000,Patriots,0,3,0,10
200011050atl,10,Buccaneers,7,7,3,10,2000,Falcons,0,0,7,7
200011050phi,10,Cowboys,0,7,3,3,2000,Eagles,0,0,0,13
200011050oti,10,Steelers,0,0,0,7,2000,Titans,0,3,0,6
200011050cin,10,Ravens,3,21,0,3,2000,Bengals,0,0,7,0
200011050cle,10,Giants,0,10,7,7,2000,Browns,3,0,0,0
200011050rai,10,Chiefs,0,10,7,14,2000,Raiders,14,14,7,14
200011050crd,10,Redskins,3,9,3,0,2000,Cardinals,10,0,6,0
200011050sea,10,Chargers,0,3,9,3,2000,Seahawks,0,14,0,3
200011050nyj,10,Broncos,10,10,3,7,2000,Jets,0,10,10,3
200011050ram,10,Panthers,6,7,3,11,2000,Rams,7,3,14,0
200011060gnb,10,Vikings,3,10,7,0,2000,Packers,0,10,10,0
200011120dal,11,Bengals,0,6,0,0,2000,Cowboys,0,7,13,3
200011120min,11,Cardinals,7,0,0,7,2000,Vikings,7,3,7,14
200011120pit,11,Eagles,3,7,3,10,2000,Steelers,0,6,7,10
200011120det,11,Falcons,0,7,3,0,2000,Lions,7,0,0,6
200011120car,11,Saints,0,7,7,6,2000,Panthers,0,3,0,7
200011120buf,11,Bears,0,3,0,0,2000,Bills,0,6,7,7
200011120jax,11,Seahawks,0,14,7,7,2000,Jaguars,7,14,0,0
200011120oti,11,Ravens,7,10,0,7,2000,Titans,0,14,0,9
200011120cle,11,Patriots,3,0,0,8,2000,Browns,3,10,3,3
200011120sfo,11,Chiefs,0,0,0,7,2000,49ers,0,21,0,0
200011120sdg,11,Dolphins,7,7,3,0,2000,Chargers,0,0,0,7
200011120tam,11,Packers,0,3,6,6,2000,Buccaneers,0,14,0,6
200011120nyg,11,Rams,14,14,10,0,2000,Giants,0,7,10,7
200011120clt,11,Jets,0,0,7,8,2000,Colts,7,10,3,3
200011130den,11,Raiders,3,7,0,14,2000,Broncos,7,0,14,6
200011190min,12,Panthers,7,7,0,3,2000,Vikings,14,10,7,0
200011190kan,12,Bills,7,0,0,14,2000,Chiefs,0,3,7,7
200011190nwe,12,Bengals,0,10,3,0,2000,Patriots,7,3,0,6
200011190phi,12,Cardinals,3,0,0,6,2000,Eagles,0,10,7,17
200011190nor,12,Raiders,3,14,0,14,2000,Saints,0,7,6,9
200011190gnb,12,Colts,0,0,3,21,2000,Packers,5,14,0,7
200011190nyg,12,Lions,0,21,7,3,2000,Giants,0,0,14,7
200011190oti,12,Browns,0,0,10,0,2000,Titans,0,0,14,10
200011190chi,12,Buccaneers,0,3,7,0,2000,Bears,3,7,0,3
200011190mia,12,Jets,3,3,0,14,2000,Dolphins,0,3,0,0
200011190den,12,Chargers,3,21,10,3,2000,Broncos,0,10,7,21
200011190rav,12,Cowboys,0,0,0,0,2000,Ravens,10,7,0,10
200011190sfo,12,Falcons,0,3,3,0,2000,49ers,3,3,7,3
200011190pit,12,Jaguars,0,17,17,0,2000,Steelers,7,3,0,14
200011200ram,12,Redskins,3,10,12,8,2000,Rams,10,3,7,0
200011230det,13,Patriots,6,0,3,0,2000,Lions,3,3,7,21
200011230dal,13,Vikings,0,10,17,0,2000,Cowboys,3,6,0,6
200011260tam,13,Bills,0,7,0,10,2000,Buccaneers,3,7,0,21
200011260rav,13,Browns,7,0,0,0,2000,Ravens,7,24,6,7
200011260was,13,Eagles,7,3,7,6,2000,Redskins,7,7,3,3
200011260cin,13,Steelers,14,10,21,3,2000,Bengals,7,7,7,7
200011260ram,13,Saints,7,14,3,7,2000,Rams,7,3,7,7
200011260nyj,13,Bears,0,0,3,7,2000,Jets,7,10,0,0
200011260rai,13,Falcons,7,0,0,7,2000,Raiders,3,21,14,3
200011260clt,13,Dolphins,0,3,7,7,2000,Colts,7,0,0,7
200011260sdg,13,Chiefs,3,3,10,0,2000,Chargers,7,7,0,3
200011260jax,13,Titans,7,3,0,3,2000,Jaguars,10,0,3,3
200011260sea,13,Broncos,0,10,7,21,2000,Seahawks,0,14,10,7
200011260crd,13,Giants,7,7,7,10,2000,Cardinals,0,0,7,0
200011270car,13,Packers,0,14,0,0,2000,Panthers,14,3,7,7
200011300min,14,Lions,0,3,0,14,2000,Vikings,7,10,0,7
200012030pit,14,Raiders,0,17,0,3,2000,Steelers,7,0,7,7
200012030was,14,Giants,0,6,3,0,2000,Redskins,0,0,0,7
200012030tam,14,Cowboys,0,0,7,0,2000,Buccaneers,17,3,0,7
200012030buf,14,Dolphins,7,17,6,3,2000,Bills,0,0,0,6
200012030nor,14,Broncos,7,21,3,7,2000,Saints,7,6,3,7
200012030cin,14,Cardinals,0,0,7,6,2000,Bengals,7,7,7,3
200012030phi,14,Titans,0,6,3,6,2000,Eagles,3,3,0,7
200012030car,14,Rams,3,0,0,0,2000,Panthers,0,0,7,9
200012030atl,14,Seahawks,17,7,6,0,2000,Falcons,0,3,0,7
200012030sdg,14,49ers,0,17,10,18,2000,Chargers,7,3,0,7
200012030nyj,14,Colts,0,0,10,7,2000,Jets,14,6,0,7
200012030jax,14,Browns,0,0,0,0,2000,Jaguars,3,17,21,7
200012030chi,14,Packers,0,14,7,7,2000,Bears,0,3,0,3
200012040nwe,14,Chiefs,3,7,0,14,2000,Patriots,10,10,7,3
200012100kan,15,Panthers,0,7,7,0,2000,Chiefs,0,3,3,9
200012100chi,15,Patriots,0,10,0,7,2000,Bears,3,7,7,7
200012100rav,15,Chargers,0,3,0,0,2000,Ravens,3,7,14,0
200012100gnb,15,Lions,0,0,3,10,2000,Packers,6,0,3,17
200012100jax,15,Cardinals,0,3,0,7,2000,Jaguars,10,17,10,7
200012100mia,15,Buccaneers,0,10,0,6,2000,Dolphins,3,0,10,0
200012100nyg,15,Steelers,0,3,0,7,2000,Giants,3,10,7,10
200012100oti,15,Bengals,0,3,0,0,2000,Titans,14,7,7,7
200012100cle,15,Eagles,7,14,14,0,2000,Browns,0,14,0,10
200012100den,15,Seahawks,3,0,7,14,2000,Broncos,7,7,10,7
200012100sfo,15,Saints,3,0,11,17,2000,49ers,7,7,0,13
200012100dal,15,Redskins,0,7,0,6,2000,Cowboys,6,6,10,10
200012100ram,15,Vikings,0,7,14,8,2000,Rams,14,6,13,7
200012100rai,15,Jets,0,0,0,7,2000,Raiders,0,21,0,10
200012110clt,15,Bills,3,3,6,8,2000,Colts,3,6,14,21
200012160pit,16,Redskins,3,0,0,0,2000,Steelers,0,17,0,7
200012160sea,16,Raiders,7,3,7,7,2000,Seahawks,10,3,0,14
200012170kan,16,Broncos,0,7,0,0,2000,Chiefs,3,0,7,10
200012170min,16,Packers,10,10,3,10,2000,Vikings,7,7,7,7
200012170nyj,16,Lions,0,0,3,7,2000,Jets,7,0,0,0
200012170cin,16,Jaguars,0,7,7,0,2000,Bengals,0,0,7,10
200012170buf,16,Patriots,3,0,0,7,2000,Bills,0,3,0,7
200012170nor,16,Falcons,0,0,7,0,2000,Saints,0,13,7,3
200012170cle,16,Titans,10,7,0,7,2000,Browns,0,0,0,0
200012170car,16,Chargers,2,14,6,0,2000,Panthers,7,0,13,10
200012170sfo,16,Bears,0,0,0,0,2000,49ers,7,3,7,0
200012170crd,16,Ravens,3,0,10,0,2000,Cardinals,0,0,7,0
200012170mia,16,Colts,7,10,3,0,2000,Dolphins,0,3,7,3
200012170dal,16,Giants,0,0,7,10,2000,Cowboys,7,6,0,0
200012180tam,16,Rams,7,7,7,14,2000,Buccaneers,10,14,7,7
200012230nyg,17,Jaguars,0,7,3,15,2000,Giants,7,0,0,21
200012230den,17,49ers,0,0,0,9,2000,Broncos,0,17,21,0
200012230sea,17,Bills,21,7,7,7,2000,Seahawks,7,7,3,6
200012240was,17,Cardinals,0,3,0,0,2000,Redskins,14,6,0,0
200012240det,17,Bears,0,6,7,10,2000,Lions,10,0,0,10
200012240nwe,17,Dolphins,3,14,0,10,2000,Patriots,7,14,3,0
200012240rav,17,Jets,14,0,3,3,2000,Ravens,0,20,7,7
200012240gnb,17,Buccaneers,0,0,3,11,2000,Packers,7,0,7,0
200012240nor,17,Rams,7,3,9,7,2000,Saints,0,7,0,14
200012240phi,17,Bengals,0,0,0,7,2000,Eagles,10,3,0,3
200012240atl,17,Chiefs,7,0,0,6,2000,Falcons,7,6,6,10
200012240sdg,17,Steelers,7,17,0,10,2000,Chargers,14,0,7,0
200012240clt,17,Vikings,7,3,0,0,2000,Colts,7,14,7,3
200012240rai,17,Panthers,3,6,0,0,2000,Raiders,7,17,14,14
200012250oti,17,Cowboys,0,0,0,0,2000,Titans,7,0,24,0
200012300mia,100,Colts,3,11,0,3,2000,Dolphins,0,0,7,10
200012300nor,100,Rams,7,0,0,21,2000,Saints,0,10,7,14
200012310rav,100,Broncos,0,3,0,0,2000,Ravens,0,14,7,0
200012310phi,100,Buccaneers,0,3,0,0,2000,Eagles,0,14,0,7
200101060min,200,Saints,3,0,7,6,2000,Vikings,10,7,10,7
200101060rai,200,Dolphins,0,0,0,0,2000,Raiders,10,10,7,0
200101070oti,200,Ravens,0,7,3,14,2000,Titans,7,0,3,0
200101070nyg,200,Eagles,0,3,0,7,2000,Giants,7,10,0,3
200101140nyg,300,Vikings,0,0,0,0,2000,Giants,14,20,7,0
200101140rai,300,Ravens,0,10,3,3,2000,Raiders,0,0,3,0
200101280nyg,400,Ravens,7,3,14,10,2000,Giants,0,0,7,0
200109090kan,1,Raiders,6,0,8,13,2001,Chiefs,7,7,3,7
200109090gnb,1,Lions,3,3,0,0,2001,Packers,21,0,7,0
200109090dal,1,Buccaneers,3,0,0,7,2001,Cowboys,3,0,3,0
200109090min,1,Panthers,7,3,7,7,2001,Vikings,0,0,13,0
200109090cle,1,Seahawks,0,3,3,3,2001,Browns,0,3,0,3
200109090rav,1,Bears,3,0,3,0,2001,Ravens,0,3,7,7
200109090cin,1,Patriots,0,10,0,7,2001,Bengals,0,10,13,0
200109090nyj,1,Colts,3,28,7,7,2001,Jets,7,7,3,7
200109090jax,1,Steelers,0,3,0,0,2001,Jaguars,0,21,0,0
200109090buf,1,Saints,0,0,17,7,2001,Bills,3,3,0,0
200109090sfo,1,Falcons,7,3,3,0,2001,49ers,0,3,0,10
200109090sdg,1,Redskins,0,0,3,0,2001,Chargers,10,10,0,10
200109090phi,1,Rams,7,7,3,0,2001,Eagles,3,0,0,14
200109090oti,1,Dolphins,10,7,7,7,2001,Titans,0,7,7,9
200109100den,1,Giants,0,7,7,6,2001,Broncos,7,7,7,10
200109230kan,2,Giants,3,10,0,0,2001,Chiefs,0,0,3,0
200109230chi,2,Vikings,3,0,7,0,2001,Bears,0,0,3,14
200109230clt,2,Bills,7,10,3,6,2001,Colts,14,21,7,0
200109230mia,2,Raiders,3,3,3,6,2001,Dolphins,0,7,3,8
200109230jax,2,Titans,3,3,0,0,2001,Jaguars,3,7,3,0
200109230cin,2,Ravens,3,0,0,7,2001,Bengals,0,0,14,7
200109230atl,2,Panthers,3,7,3,3,2001,Falcons,7,3,7,7
200109230dal,2,Chargers,14,6,6,6,2001,Cowboys,0,14,0,7
200109230cle,2,Lions,0,0,7,7,2001,Browns,7,7,10,0
200109230nwe,2,Jets,0,3,7,0,2001,Patriots,3,0,0,0
200109230sea,2,Eagles,3,14,0,10,2001,Seahawks,0,3,0,0
200109230sfo,2,Rams,9,3,10,8,2001,49ers,0,16,0,10
200109230crd,2,Broncos,0,17,14,7,2001,Cardinals,3,7,0,7
200109240gnb,2,Redskins,0,0,0,0,2001,Packers,7,3,10,17
200109300ram,3,Dolphins,7,3,0,0,2001,Rams,7,14,7,14
200109300min,3,Buccaneers,3,3,3,7,2001,Vikings,7,3,3,7
200109300was,3,Chiefs,0,28,7,10,2001,Redskins,3,7,3,0
200109300car,3,Packers,0,6,15,7,2001,Panthers,0,7,0,0
200109300nwe,3,Colts,0,0,7,6,2001,Patriots,7,13,3,21
200109300buf,3,Steelers,7,3,0,10,2001,Bills,0,3,0,0
200109300nyg,3,Saints,0,3,0,10,2001,Giants,0,14,0,7
200109300crd,3,Falcons,10,3,7,14,2001,Cardinals,0,0,7,7
200109300rai,3,Seahawks,0,0,7,7,2001,Raiders,7,17,14,0
200109300den,3,Ravens,3,3,7,7,2001,Broncos,10,0,3,0
200109300sdg,3,Bengals,0,7,0,7,2001,Chargers,0,7,14,7
200109300jax,3,Browns,3,10,0,10,2001,Jaguars,0,0,14,0
200109300phi,3,Cowboys,6,0,0,12,2001,Eagles,7,26,7,0
200110010nyj,3,49ers,0,13,3,3,2001,Jets,7,0,3,7
200110070nor,4,Vikings,7,0,8,0,2001,Saints,6,9,10,3
200110070rav,4,Titans,0,0,7,0,2001,Ravens,7,10,3,6
200110070cle,4,Chargers,3,0,7,6,2001,Browns,0,10,0,10
200110070pit,4,Bengals,0,0,0,7,2001,Steelers,0,10,0,6
200110070mia,4,Patriots,7,3,0,0,2001,Dolphins,7,10,10,3
200110070nyg,4,Redskins,3,3,3,0,2001,Giants,3,6,0,14
200110070atl,4,Bears,0,10,0,21,2001,Falcons,0,0,0,3
200110070phi,4,Cardinals,14,0,0,7,2001,Eagles,7,10,0,3
200110070rai,4,Cowboys,0,7,7,7,2001,Raiders,7,14,7,0
200110070den,4,Chiefs,0,6,0,0,2001,Broncos,7,3,3,7
200110070buf,4,Jets,21,7,14,0,2001,Bills,6,9,7,14
200110070sea,4,Jaguars,3,9,3,0,2001,Seahawks,14,7,0,3
200110070tam,4,Packers,0,7,3,0,2001,Buccaneers,0,7,0,7
200110070sfo,4,Panthers,0,7,7,0,2001,49ers,0,10,14,0
200110080det,4,Rams,7,14,0,14,2001,Lions,0,0,0,0
200110140kan,5,Steelers,0,6,14,0,2001,Chiefs,0,2,0,15
200110140ram,5,Giants,7,0,0,7,2001,Rams,6,3,0,6
200110140chi,5,Cardinals,0,6,0,7,2001,Bears,3,10,7,0
200110140min,5,Lions,3,3,7,13,2001,Vikings,7,17,7,0
200110140cin,5,Browns,7,0,0,7,2001,Bengals,3,0,10,11
200110140car,5,Saints,10,7,3,7,2001,Panthers,0,6,6,13
200110140gnb,5,Ravens,7,0,3,13,2001,Packers,0,17,7,7
200110140nwe,5,Chargers,3,3,7,13,2001,Patriots,3,6,7,10
200110140oti,5,Buccaneers,0,7,7,14,2001,Titans,7,10,0,11
200110140atl,5,49ers,0,7,10,14,2001,Falcons,14,6,0,11
200110140nyj,5,Dolphins,7,10,0,0,2001,Jets,0,0,14,7
200110140sea,5,Broncos,0,14,0,7,2001,Seahawks,10,14,7,3
200110140clt,5,Raiders,3,10,7,3,2001,Colts,0,9,6,3
200110150dal,5,Redskins,0,0,0,7,2001,Cowboys,0,3,0,6
200110180jax,6,Bills,0,3,7,3,2001,Jaguars,0,0,7,3
200110210nor,6,Falcons,10,0,0,10,2001,Saints,0,10,0,3
200110210det,6,Titans,3,6,8,10,2001,Lions,0,14,0,10
200110210clt,6,Patriots,7,21,3,7,2001,Colts,3,3,11,0
200110210tam,6,Steelers,0,7,10,0,2001,Buccaneers,0,3,0,7
200110210was,6,Panthers,7,0,0,7,2001,Redskins,0,0,0,14
200110210cin,6,Bears,3,7,7,7,2001,Bengals,0,0,0,0
200110210cle,6,Ravens,0,6,0,8,2001,Browns,7,3,14,0
200110210nyj,6,Rams,0,21,10,3,2001,Jets,0,7,0,7
200110210sdg,6,Broncos,0,7,3,0,2001,Chargers,7,6,7,7
200110210min,6,Packers,0,0,7,6,2001,Vikings,0,20,0,15
200110210crd,6,Chiefs,3,6,0,7,2001,Cardinals,0,3,7,14
200110220nyg,6,Eagles,0,0,3,7,2001,Giants,3,6,0,0
200110250kan,7,Colts,0,7,10,18,2001,Chiefs,0,3,11,14
200110280det,7,Bengals,7,14,3,7,2001,Lions,3,10,14,0
200110280rav,7,Jaguars,0,3,7,7,2001,Ravens,0,3,3,12
200110280tam,7,Vikings,0,0,8,6,2001,Buccaneers,7,21,13,0
200110280ram,7,Saints,3,3,25,3,2001,Rams,14,10,0,7
