ScoreDistributionByQuarter,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
count of visitor Q1,1746,6,724,0,2,87,935,1,14,210,0,3,15,192,0,0,30,0,0,1,14,0,1,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
count of visitor Q2,950,4,764,0,3,199,922,2,28,504,5,7,89,322,0,16,94,0,1,11,51,0,3,4,0,1,1,7,0,0,0,0,0,0,1,0,0,0,0,0
count of visitor Q3,1581,12,651,1,4,108,1025,21,22,230,6,6,20,226,7,4,34,2,0,4,21,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
count of visitor Q4,1163,10,578,0,5,223,939,88,47,349,34,19,82,258,25,23,59,6,1,8,52,6,2,3,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
count of home Q1,1411,10,681,0,7,93,1127,0,13,274,0,2,19,279,0,3,34,0,0,1,29,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
count of home Q2,804,7,703,0,9,238,822,2,45,562,1,7,94,388,1,11,146,0,1,20,86,5,2,15,0,1,3,10,0,0,4,0,0,1,1,0,0,0,0,0
count of home Q3,1442,9,674,0,4,115,1048,24,22,247,13,4,26,280,7,4,30,0,0,2,36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
count of home Q4,1004,20,597,0,15,230,942,70,60,379,30,13,70,303,47,15,79,9,3,8,61,10,5,9,1,0,1,4,1,1,1,0,0,1,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
