,Week,Clump,Estimator,params,accuracy
0,1,0,LogisticRegression,NA,0.6125
1,1,1,LogisticRegression,NA,0.675
2,1,2,LogisticRegression,NA,0.7625
3,1,3,LogisticRegression,NA,0.6375
4,1,4,LogisticRegression,NA,0.6875
5,1,5,LogisticRegression,NA,0.775
6,1,6,LogisticRegression,NA,0.7625
7,1,7,LogisticRegression,NA,0.775
8,1,8,LogisticRegression,NA,0.6625
9,1,9,LogisticRegression,NA,0.725
10,1,10,LogisticRegression,NA,0.7875
11,1,11,LogisticRegression,NA,0.7375
12,1,12,LogisticRegression,NA,0.7375
13,1,13,LogisticRegression,NA,0.8375
14,1,14,LogisticRegression,NA,0.875
15,2,0,LogisticRegression,NA,0.6455696202531646
16,2,1,LogisticRegression,NA,0.569620253164557
17,2,2,LogisticRegression,NA,0.6708860759493671
18,2,3,LogisticRegression,NA,0.620253164556962
19,2,4,LogisticRegression,NA,0.6582278481012658
20,2,5,LogisticRegression,NA,0.6962025316455697
21,2,6,LogisticRegression,NA,0.6708860759493671
22,2,7,LogisticRegression,NA,0.6329113924050633
23,2,8,LogisticRegression,NA,0.6835443037974683
24,2,9,LogisticRegression,NA,0.6708860759493671
25,2,10,LogisticRegression,NA,0.7215189873417721
26,2,11,LogisticRegression,NA,0.810126582278481
27,2,12,LogisticRegression,NA,0.7215189873417721
28,2,13,LogisticRegression,NA,0.7721518987341772
29,2,14,LogisticRegression,NA,0.810126582278481
30,3,0,LogisticRegression,NA,0.5714285714285714
31,3,1,LogisticRegression,NA,0.6363636363636364
32,3,2,LogisticRegression,NA,0.6233766233766234
33,3,3,LogisticRegression,NA,0.6103896103896104
34,3,4,LogisticRegression,NA,0.7142857142857143
35,3,5,LogisticRegression,NA,0.6883116883116883
36,3,6,LogisticRegression,NA,0.7662337662337663
37,3,7,LogisticRegression,NA,0.7142857142857143
38,3,8,LogisticRegression,NA,0.7272727272727273
39,3,9,LogisticRegression,NA,0.6623376623376623
40,3,10,LogisticRegression,NA,0.7662337662337663
41,3,11,LogisticRegression,NA,0.7142857142857143
42,3,12,LogisticRegression,NA,0.7792207792207793
43,3,13,LogisticRegression,NA,0.7402597402597403
44,3,14,LogisticRegression,NA,0.8051948051948052
45,4,0,LogisticRegression,NA,0.6575342465753424
46,4,1,LogisticRegression,NA,0.6712328767123288
47,4,2,LogisticRegression,NA,0.6164383561643836
48,4,3,LogisticRegression,NA,0.4520547945205479
49,4,4,LogisticRegression,NA,0.7397260273972602
