,Year,Clump,Estimator,params,accuracy
0,2000,0,LogisticRegression,NA,0.6349206349206349
1,2000,1,LogisticRegression,NA,0.6349206349206349
2,2000,2,LogisticRegression,NA,0.6031746031746031
3,2000,3,LogisticRegression,NA,0.6666666666666666
4,2000,4,LogisticRegression,NA,0.7142857142857143
5,2000,5,LogisticRegression,NA,0.6190476190476191
6,2000,6,LogisticRegression,NA,0.6507936507936508
7,2000,7,LogisticRegression,NA,0.5873015873015873
8,2000,8,LogisticRegression,NA,0.6666666666666666
9,2000,9,LogisticRegression,NA,0.7142857142857143
10,2000,10,LogisticRegression,NA,0.6984126984126984
11,2000,11,LogisticRegression,NA,0.7936507936507936
12,2000,12,LogisticRegression,NA,0.8095238095238095
13,2000,13,LogisticRegression,NA,0.746031746031746
14,2000,14,LogisticRegression,NA,0.8412698412698413
15,2001,0,LogisticRegression,NA,0.6333333333333333
16,2001,1,LogisticRegression,NA,0.6666666666666666
17,2001,2,LogisticRegression,NA,0.55
18,2001,3,LogisticRegression,NA,0.65
19,2001,4,LogisticRegression,NA,0.7
20,2001,5,LogisticRegression,NA,0.7
21,2001,6,LogisticRegression,NA,0.6666666666666666
22,2001,7,LogisticRegression,NA,0.6833333333333333
23,2001,8,LogisticRegression,NA,0.6333333333333333
24,2001,9,LogisticRegression,NA,0.7166666666666667
25,2001,10,LogisticRegression,NA,0.7833333333333333
26,2001,11,LogisticRegression,NA,0.7666666666666667
27,2001,12,LogisticRegression,NA,0.7333333333333333
28,2001,13,LogisticRegression,NA,0.7666666666666667
29,2001,14,LogisticRegression,NA,0.7666666666666667
30,2002,0,LogisticRegression,NA,0.6901408450704225
31,2002,1,LogisticRegression,NA,0.6197183098591549
32,2002,2,LogisticRegression,NA,0.5633802816901409
33,2002,3,LogisticRegression,NA,0.6056338028169014
34,2002,4,LogisticRegression,NA,0.676056338028169
35,2002,5,LogisticRegression,NA,0.6056338028169014
36,2002,6,LogisticRegression,NA,0.6619718309859155
37,2002,7,LogisticRegression,NA,0.676056338028169
38,2002,8,LogisticRegression,NA,0.676056338028169
39,2002,9,LogisticRegression,NA,0.6338028169014085
40,2002,10,LogisticRegression,NA,0.7183098591549296
41,2002,11,LogisticRegression,NA,0.7323943661971831
42,2002,12,LogisticRegression,NA,0.7183098591549296
43,2002,13,LogisticRegression,NA,0.6619718309859155
44,2002,14,LogisticRegression,NA,0.7605633802816901
45,2003,0,LogisticRegression,NA,0.6567164179104478
46,2003,1,LogisticRegression,NA,0.6716417910447762
47,2003,2,LogisticRegression,NA,0.6417910447761194
48,2003,3,LogisticRegression,NA,0.582089552238806
49,2003,4,LogisticRegression,NA,0.746268656716418
50,2003,5,LogisticRegression,NA,0.6567164179104478
51,2003,6,LogisticRegression,NA,0.7313432835820896
52,2003,7,LogisticRegression,NA,0.6865671641791045
53,2003,8,LogisticRegression,NA,0.746268656716418
54,2003,9,LogisticRegression,NA,0.746268656716418
55,2003,10,LogisticRegression,NA,0.746268656716418
56,2003,11,LogisticRegression,NA,0.8208955223880597
57,2003,12,LogisticRegression,NA,0.8059701492537313
58,2003,13,LogisticRegression,NA,0.7164179104477612
59,2003,14,LogisticRegression,NA,0.8507462686567164
60,2004,0,LogisticRegression,NA,0.6190476190476191
61,2004,1,LogisticRegression,NA,0.5396825396825397
62,2004,2,LogisticRegression,NA,0.5396825396825397
63,2004,3,LogisticRegression,NA,0.6507936507936508
64,2004,4,LogisticRegression,NA,0.746031746031746
65,2004,5,LogisticRegression,NA,0.6349206349206349
66,2004,6,LogisticRegression,NA,0.6349206349206349
67,2004,7,LogisticRegression,NA,0.5873015873015873
68,2004,8,LogisticRegression,NA,0.7142857142857143
69,2004,9,LogisticRegression,NA,0.6666666666666666
70,2004,10,LogisticRegression,NA,0.8095238095238095
71,2004,11,LogisticRegression,NA,0.746031746031746
