,GameID,Vteam,VQ1,VQ2,VQ3,VQ4,HQ1,HQ2,HQ3,HQ4,Hteam,DateWeek,Year,OddsVQ1,OddsVQ2,OddsVQ3,OddsVQ4,OddsHQ1,OddsHQ2,OddsHQ3,OddsHQ4,TotalPO,payout,profit,correct,Summary1,Summary2
5238,2019-13-BuccaneersJaguars,Buccaneers,15,10,0,3,0,0,3,8,Jaguars,13,2019,0,0,0,0,0,0,0,0,0,0,-8,0,profit,-269.5
2,Guess0,N/A,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,0,3,0,3,3,0,0,24,9,1,3,> 6 odds,1
3,Guess3,N/A,3,3,3,3,3,3,3,3,N/A,N/A,N/A,0,0,0,3,0,0,3,0,24,6,-2,2,0<x<6 odds,177
4,Guess7,N/A,7,7,7,7,7,7,7,7,N/A,N/A,N/A,0,0,0,0,0,0,0,0,24,0,-8,0,total correct,178
5,Guess14,N/A,14,14,14,14,14,14,14,14,N/A,N/A,N/A,0,0,0,0,0,0,0,0,60,0,-8,0,winners,26
6,Guess6,N/A,6,6,6,6,6,6,6,6,N/A,N/A,N/A,0,0,0,0,0,0,0,0,60,0,-8,0,3+ winners,26
7,Guess8,N/A,8,8,8,8,8,8,8,8,N/A,N/A,N/A,0,0,0,0,0,0,0,7.5,1692.5,7.5,-0.5,1,#N/A,#N/A
8,Guess10,N/A,10,10,10,10,10,10,10,10,N/A,N/A,N/A,0,3,0,0,0,0,0,0,51,3,-5,1,#N/A,#N/A
9,Guess13,N/A,13,13,13,13,13,13,13,13,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1623,0,-8,0,#N/A,#N/A
10,Guess21,N/A,21,21,21,21,21,21,21,21,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1581.5,0,-8,0,#N/A,#N/A
11,Guess2,N/A,2,2,2,2,2,2,2,2,N/A,N/A,N/A,0,0,0,0,0,0,0,0,2400,0,-8,0,#N/A,#N/A
12,Random,N/A,7,3,0,0,0,6,0,7,N/A,N/A,N/A,0,0,3,0,3,0,0,0,28.5,6,-2,2,#N/A,#N/A
13,Random,N/A,0,0,0,0,0,3,7,0,N/A,N/A,N/A,0,0,3,0,3,0,0,0,24,6,-2,2,#N/A,#N/A
14,Random,N/A,3,6,0,3,0,7,0,0,N/A,N/A,N/A,0,0,3,3,3,0,0,0,28.5,9,1,3,#N/A,#N/A
15,Random,N/A,14,3,7,0,3,0,3,0,N/A,N/A,N/A,0,0,0,0,0,3,3,0,28.5,6,-2,2,#N/A,#N/A
16,Random,N/A,0,0,3,3,0,0,0,3,N/A,N/A,N/A,0,0,0,3,3,3,0,0,24,9,1,3,#N/A,#N/A
17,Random,N/A,0,0,3,0,0,7,15,0,N/A,N/A,N/A,0,0,0,0,3,0,0,0,321,3,-5,1,#N/A,#N/A
18,Random,N/A,0,0,3,0,3,10,0,0,N/A,N/A,N/A,0,0,0,0,0,0,0,0,28.5,0,-8,0,#N/A,#N/A
19,Random,N/A,10,7,6,3,0,14,0,0,N/A,N/A,N/A,0,0,0,3,3,0,0,0,37.5,6,-2,2,#N/A,#N/A
