,Clump,Team,Estimator,accuracy,HV
137,4,Eagles,BaggingClassifier(),0.8409090909090909,H
149,4,Saints,LogisticRegression(),0.8372093023255814,H
133,4,Jaguars,MultinomialNB(),0.8292682926829268,H
134,4,Buccaneers,MultinomialNB(),0.8292682926829268,H
135,4,Lions,LogisticRegression(),0.8292682926829268,V
129,4,Colts,MultinomialNB(),0.813953488372093,H
132,4,Ravens,MultinomialNB(),0.8095238095238095,H
143,4,Dolphins,LogisticRegression(),0.8048780487804879,V
140,4,Jets,AdaBoostClassifier(),0.8048780487804879,H
145,4,Raiders,MultinomialNB(),0.8048780487804879,V
154,4,Patriots,RandomForestClassifier(),0.7916666666666666,H
130,4,Panthers,KNeighborsClassifier(),0.7857142857142857,V
152,4,Falcons,AdaBoostClassifier(),0.7857142857142857,H
144,4,Browns,AdaBoostClassifier(),0.7804878048780488,V
139,4,Seahawks,LogisticRegression(),0.7674418604651163,H
159,4,Texans,GradientBoostingClassifier(),0.7631578947368421,H
138,4,Chargers,LogisticRegression(),0.7619047619047619,V
131,4,49ers,RandomForestClassifier(),0.7619047619047619,H
136,4,Cardinals,AdaBoostClassifier(),0.7560975609756098,V
157,4,Bills,LogisticRegression(),0.7560975609756098,V
153,4,Cowboys,KNeighborsClassifier(),0.7380952380952381,V
158,4,Vikings,MultinomialNB(),0.7380952380952381,V
155,4,Bengals,AdaBoostClassifier(),0.7317073170731707,H
128,4,Bears,ExtraTreesClassifier(),0.725,V
147,4,Giants,MultinomialNB(),0.7209302325581395,V
150,4,Rams,KNeighborsClassifier(),0.7142857142857143,V
142,4,Broncos,LogisticRegression(),0.7073170731707317,V
146,4,Packers,LogisticRegression(),0.7045454545454546,H
151,4,Redskins,MultinomialNB(),0.6829268292682927,H
156,4,Steelers,LogisticRegression(),0.6818181818181818,H
148,4,Chiefs,KNeighborsClassifier(),0.6744186046511628,H
141,4,Titans,AdaBoostClassifier(),0.627906976744186,V
