,Clump,Team,Estimator,accuracy,HV
100,3,Ravens,LogisticRegression(),0.7857142857142857,H
112,3,Browns,LogisticRegression(),0.7804878048780488,V
103,3,Lions,LogisticRegression(),0.7804878048780488,V
113,3,Raiders,KNeighborsClassifier(),0.7804878048780488,V
125,3,Bills,LogisticRegression(),0.7317073170731707,V
122,3,Patriots,KNeighborsClassifier(),0.7291666666666666,H
124,3,Steelers,LogisticRegression(),0.7272727272727273,H
108,3,Jets,KNeighborsClassifier(),0.7209302325581395,V
126,3,Vikings,LogisticRegression(),0.7142857142857143,V
106,3,Chargers,LogisticRegression(),0.7142857142857143,V
116,3,Chiefs,LogisticRegression(),0.6976744186046512,H
118,3,Rams,LogisticRegression(),0.6904761904761905,H
127,3,Texans,LogisticRegression(),0.6842105263157895,H
123,3,Bengals,LogisticRegression(),0.6829268292682927,H
115,3,Giants,KNeighborsClassifier(),0.6744186046511628,V
98,3,Panthers,KNeighborsClassifier(),0.6666666666666666,H
99,3,49ers,LogisticRegression(),0.6666666666666666,H
101,3,Jaguars,LogisticRegression(),0.6666666666666666,V
121,3,Cowboys,LogisticRegression(),0.6666666666666666,V
110,3,Broncos,RandomForestClassifier(),0.6585365853658537,V
102,3,Buccaneers,KNeighborsClassifier(),0.6585365853658537,H
107,3,Seahawks,LogisticRegression(),0.6511627906976745,H
117,3,Saints,LogisticRegression(),0.6511627906976745,H
96,3,Bears,KNeighborsClassifier(),0.65,V
114,3,Packers,KNeighborsClassifier(),0.6363636363636364,V
111,3,Dolphins,LogisticRegression(),0.6341463414634146,V
120,3,Falcons,KNeighborsClassifier(),0.6190476190476191,V
104,3,Cardinals,KNeighborsClassifier(),0.6097560975609756,V
109,3,Titans,LogisticRegression(),0.6046511627906976,V
97,3,Colts,BaggingClassifier(),0.5909090909090909,V
119,3,Redskins,LogisticRegression(),0.5609756097560976,H
105,3,Eagles,RandomForestClassifier(),0.5454545454545454,H
