,Clump,Team,Estimator,accuracy,HV
453,14,Jaguars,LogisticRegression(),0.926829268292683,H
450,14,Panthers,RandomForestClassifier(),0.9047619047619048,H
467,14,Giants,LogisticRegression(),0.9047619047619048,H
477,14,Bills,RandomForestClassifier(),0.9,H
452,14,Ravens,LogisticRegression(),0.8888888888888888,V
449,14,Colts,LogisticRegression(),0.8837209302325582,H
456,14,Cardinals,RandomForestClassifier(),0.8780487804878049,V
475,14,Bengals,LogisticRegression(),0.8780487804878049,H
469,14,Saints,LogisticRegression(),0.8604651162790697,H
470,14,Rams,MultinomialNB(),0.8571428571428571,H
478,14,Vikings,MultinomialNB(),0.8571428571428571,V
472,14,Falcons,LogisticRegression(),0.8571428571428571,V
455,14,Lions,LogisticRegression(),0.8536585365853658,V
462,14,Broncos,LogisticRegression(),0.8536585365853658,V
464,14,Browns,LogisticRegression(),0.85,H
466,14,Packers,GradientBoostingClassifier(),0.8409090909090909,V
474,14,Patriots,MultinomialNB(),0.8372093023255814,V
457,14,Eagles,LogisticRegression(),0.8372093023255814,V
458,14,Chargers,LogisticRegression(),0.8333333333333334,H
451,14,49ers,MultinomialNB(),0.8333333333333334,H
463,14,Dolphins,LogisticRegression(),0.8292682926829268,V
454,14,Buccaneers,MultinomialNB(),0.8292682926829268,H
460,14,Jets,ExtraTreesClassifier(),0.8292682926829268,H
476,14,Steelers,LogisticRegression(),0.8181818181818182,H
479,14,Texans,LogisticRegression(),0.8157894736842105,H
459,14,Seahawks,LogisticRegression(),0.813953488372093,H
473,14,Cowboys,LogisticRegression(),0.8095238095238095,V
465,14,Raiders,MultinomialNB(),0.8095238095238095,H
471,14,Redskins,LogisticRegression(),0.8048780487804879,H
448,14,Bears,LogisticRegression(),0.8,V
461,14,Titans,GradientBoostingClassifier(),0.7906976744186046,V
468,14,Chiefs,LogisticRegression(),0.7441860465116279,H
