,Clump,Team,Estimator,accuracy,HV
0,0,Bears,LogisticRegression(),0.5952380952380952,H
1,0,Colts,KNeighborsClassifier(),0.6511627906976745,H
2,0,Panthers,LogisticRegression(),0.6190476190476191,H
3,0,49ers,LogisticRegression(),0.6428571428571429,H
4,0,Ravens,LogisticRegression(),0.6904761904761905,H
5,0,Jaguars,KNeighborsClassifier(),0.5365853658536586,H
6,0,Buccaneers,LogisticRegression(),0.6585365853658537,H
7,0,Lions,KNeighborsClassifier(),0.45,H
8,0,Cardinals,KNeighborsClassifier(),0.5238095238095238,H
9,0,Eagles,BaggingClassifier(),0.6590909090909091,H
10,0,Chargers,KNeighborsClassifier(),0.5952380952380952,H
11,0,Seahawks,KNeighborsClassifier(),0.4883720930232558,H
12,0,Jets,LogisticRegression(),0.4878048780487805,H
13,0,Titans,KNeighborsClassifier(),0.3902439024390244,H
14,0,Broncos,LogisticRegression(),0.5348837209302325,H
15,0,Dolphins,LogisticRegression(),0.4878048780487805,H
16,0,Browns,KNeighborsClassifier(),0.5,H
17,0,Raiders,ExtraTreesClassifier(),0.7142857142857143,H
18,0,Packers,LogisticRegression(),0.6363636363636364,H
19,0,Giants,LogisticRegression(),0.6190476190476191,H
20,0,Chiefs,KNeighborsClassifier(),0.4883720930232558,H
21,0,Saints,LogisticRegression(),0.5116279069767442,H
22,0,Rams,KNeighborsClassifier(),0.4761904761904761,H
23,0,Redskins,LogisticRegression(),0.5853658536585366,H
24,0,Falcons,KNeighborsClassifier(),0.6190476190476191,H
25,0,Cowboys,LogisticRegression(),0.5714285714285714,H
26,0,Patriots,LogisticRegression(),0.7083333333333334,H
27,0,Bengals,KNeighborsClassifier(),0.5609756097560976,H
28,0,Steelers,KNeighborsClassifier(),0.4772727272727273,H
29,0,Bills,KNeighborsClassifier(),0.4,H
30,0,Vikings,KNeighborsClassifier(),0.6904761904761905,H
31,0,Texans,LogisticRegression(),0.5789473684210527,H
32,1,Bears,LogisticRegression(),0.5952380952380952,H
33,1,Colts,KNeighborsClassifier(),0.6511627906976745,H
34,1,Panthers,LogisticRegression(),0.6190476190476191,H
35,1,49ers,LogisticRegression(),0.6428571428571429,H
36,1,Ravens,LogisticRegression(),0.6904761904761905,H
37,1,Jaguars,KNeighborsClassifier(),0.5365853658536586,H
38,1,Buccaneers,LogisticRegression(),0.6585365853658537,H
39,1,Lions,KNeighborsClassifier(),0.45,H
40,1,Cardinals,KNeighborsClassifier(),0.5238095238095238,H
41,1,Eagles,BaggingClassifier(),0.6590909090909091,H
42,1,Chargers,KNeighborsClassifier(),0.5952380952380952,H
43,1,Seahawks,KNeighborsClassifier(),0.4883720930232558,H
44,1,Jets,LogisticRegression(),0.4878048780487805,H
45,1,Titans,KNeighborsClassifier(),0.3902439024390244,H
46,1,Broncos,LogisticRegression(),0.5348837209302325,H
47,1,Dolphins,LogisticRegression(),0.4878048780487805,H
48,1,Browns,KNeighborsClassifier(),0.5,H
49,1,Raiders,ExtraTreesClassifier(),0.7142857142857143,H
50,1,Packers,LogisticRegression(),0.6363636363636364,H
51,1,Giants,LogisticRegression(),0.6190476190476191,H
52,1,Chiefs,KNeighborsClassifier(),0.4883720930232558,H
53,1,Saints,LogisticRegression(),0.5116279069767442,H
54,1,Rams,KNeighborsClassifier(),0.4761904761904761,H
55,1,Redskins,LogisticRegression(),0.5853658536585366,H
56,1,Falcons,KNeighborsClassifier(),0.6190476190476191,H
57,1,Cowboys,LogisticRegression(),0.5714285714285714,H
58,1,Patriots,LogisticRegression(),0.7083333333333334,H
59,1,Bengals,KNeighborsClassifier(),0.5609756097560976,H
60,1,Steelers,KNeighborsClassifier(),0.4772727272727273,H
61,1,Bills,KNeighborsClassifier(),0.4,H
62,1,Vikings,KNeighborsClassifier(),0.6904761904761905,H
63,1,Texans,LogisticRegression(),0.5789473684210527,H
64,2,Bears,LogisticRegression(),0.5952380952380952,H
65,2,Colts,KNeighborsClassifier(),0.6511627906976745,H
66,2,Panthers,LogisticRegression(),0.6190476190476191,H
67,2,49ers,LogisticRegression(),0.6428571428571429,H
68,2,Ravens,LogisticRegression(),0.6904761904761905,H
69,2,Jaguars,KNeighborsClassifier(),0.5365853658536586,H
70,2,Buccaneers,LogisticRegression(),0.6585365853658537,H
71,2,Lions,KNeighborsClassifier(),0.45,H
72,2,Cardinals,KNeighborsClassifier(),0.5238095238095238,H
73,2,Eagles,BaggingClassifier(),0.6590909090909091,H
74,2,Chargers,KNeighborsClassifier(),0.5952380952380952,H
75,2,Seahawks,KNeighborsClassifier(),0.4883720930232558,H
76,2,Jets,LogisticRegression(),0.4878048780487805,H
77,2,Titans,KNeighborsClassifier(),0.3902439024390244,H
78,2,Broncos,LogisticRegression(),0.5348837209302325,H
79,2,Dolphins,LogisticRegression(),0.4878048780487805,H
80,2,Browns,KNeighborsClassifier(),0.5,H
81,2,Raiders,ExtraTreesClassifier(),0.7142857142857143,H
82,2,Packers,LogisticRegression(),0.6363636363636364,H
83,2,Giants,LogisticRegression(),0.6190476190476191,H
84,2,Chiefs,KNeighborsClassifier(),0.4883720930232558,H
85,2,Saints,LogisticRegression(),0.5116279069767442,H
86,2,Rams,KNeighborsClassifier(),0.4761904761904761,H
87,2,Redskins,LogisticRegression(),0.5853658536585366,H
88,2,Falcons,KNeighborsClassifier(),0.6190476190476191,H
89,2,Cowboys,LogisticRegression(),0.5714285714285714,H
90,2,Patriots,LogisticRegression(),0.7083333333333334,H
91,2,Bengals,KNeighborsClassifier(),0.5609756097560976,H
92,2,Steelers,KNeighborsClassifier(),0.4772727272727273,H
93,2,Bills,KNeighborsClassifier(),0.4,H
94,2,Vikings,KNeighborsClassifier(),0.6904761904761905,H
95,2,Texans,LogisticRegression(),0.5789473684210527,H
96,3,Bears,LogisticRegression(),0.5952380952380952,H
97,3,Colts,KNeighborsClassifier(),0.6511627906976745,H
98,3,Panthers,LogisticRegression(),0.6190476190476191,H
99,3,49ers,LogisticRegression(),0.6428571428571429,H
100,3,Ravens,LogisticRegression(),0.6904761904761905,H
101,3,Jaguars,KNeighborsClassifier(),0.5365853658536586,H
102,3,Buccaneers,LogisticRegression(),0.6585365853658537,H
103,3,Lions,KNeighborsClassifier(),0.45,H
104,3,Cardinals,KNeighborsClassifier(),0.5238095238095238,H
105,3,Eagles,BaggingClassifier(),0.6590909090909091,H
106,3,Chargers,KNeighborsClassifier(),0.5952380952380952,H
107,3,Seahawks,KNeighborsClassifier(),0.4883720930232558,H
108,3,Jets,LogisticRegression(),0.4878048780487805,H
109,3,Titans,KNeighborsClassifier(),0.3902439024390244,H
110,3,Broncos,LogisticRegression(),0.5348837209302325,H
111,3,Dolphins,LogisticRegression(),0.4878048780487805,H
112,3,Browns,KNeighborsClassifier(),0.5,H
113,3,Raiders,ExtraTreesClassifier(),0.7142857142857143,H
114,3,Packers,LogisticRegression(),0.6363636363636364,H
115,3,Giants,LogisticRegression(),0.6190476190476191,H
116,3,Chiefs,KNeighborsClassifier(),0.4883720930232558,H
117,3,Saints,LogisticRegression(),0.5116279069767442,H
118,3,Rams,KNeighborsClassifier(),0.4761904761904761,H
119,3,Redskins,LogisticRegression(),0.5853658536585366,H
120,3,Falcons,KNeighborsClassifier(),0.6190476190476191,H
121,3,Cowboys,LogisticRegression(),0.5714285714285714,H
122,3,Patriots,LogisticRegression(),0.7083333333333334,H
123,3,Bengals,KNeighborsClassifier(),0.5609756097560976,H
124,3,Steelers,KNeighborsClassifier(),0.4772727272727273,H
125,3,Bills,KNeighborsClassifier(),0.4,H
126,3,Vikings,KNeighborsClassifier(),0.6904761904761905,H
127,3,Texans,LogisticRegression(),0.5789473684210527,H
128,4,Bears,LogisticRegression(),0.5952380952380952,H
129,4,Colts,KNeighborsClassifier(),0.6511627906976745,H
130,4,Panthers,LogisticRegression(),0.6190476190476191,H
131,4,49ers,LogisticRegression(),0.6428571428571429,H
132,4,Ravens,LogisticRegression(),0.6904761904761905,H
133,4,Jaguars,KNeighborsClassifier(),0.5365853658536586,H
134,4,Buccaneers,LogisticRegression(),0.6585365853658537,H
135,4,Lions,KNeighborsClassifier(),0.45,H
136,4,Cardinals,KNeighborsClassifier(),0.5238095238095238,H
137,4,Eagles,BaggingClassifier(),0.6590909090909091,H
138,4,Chargers,KNeighborsClassifier(),0.5952380952380952,H
139,4,Seahawks,KNeighborsClassifier(),0.4883720930232558,H
140,4,Jets,LogisticRegression(),0.4878048780487805,H
141,4,Titans,KNeighborsClassifier(),0.3902439024390244,H
142,4,Broncos,LogisticRegression(),0.5348837209302325,H
143,4,Dolphins,LogisticRegression(),0.4878048780487805,H
144,4,Browns,KNeighborsClassifier(),0.5,H
145,4,Raiders,ExtraTreesClassifier(),0.7142857142857143,H
146,4,Packers,LogisticRegression(),0.6363636363636364,H
147,4,Giants,LogisticRegression(),0.6190476190476191,H
148,4,Chiefs,KNeighborsClassifier(),0.4883720930232558,H
149,4,Saints,LogisticRegression(),0.5116279069767442,H
150,4,Rams,KNeighborsClassifier(),0.4761904761904761,H
151,4,Redskins,LogisticRegression(),0.5853658536585366,H
152,4,Falcons,KNeighborsClassifier(),0.6190476190476191,H
153,4,Cowboys,LogisticRegression(),0.5714285714285714,H
154,4,Patriots,LogisticRegression(),0.7083333333333334,H
155,4,Bengals,KNeighborsClassifier(),0.5609756097560976,H
156,4,Steelers,KNeighborsClassifier(),0.4772727272727273,H
157,4,Bills,KNeighborsClassifier(),0.4,H
158,4,Vikings,KNeighborsClassifier(),0.6904761904761905,H
159,4,Texans,LogisticRegression(),0.5789473684210527,H
160,5,Bears,LogisticRegression(),0.5952380952380952,H
161,5,Colts,KNeighborsClassifier(),0.6511627906976745,H
162,5,Panthers,LogisticRegression(),0.6190476190476191,H
163,5,49ers,LogisticRegression(),0.6428571428571429,H
164,5,Ravens,LogisticRegression(),0.6904761904761905,H
165,5,Jaguars,KNeighborsClassifier(),0.5365853658536586,H
166,5,Buccaneers,LogisticRegression(),0.6585365853658537,H
167,5,Lions,KNeighborsClassifier(),0.45,H
168,5,Cardinals,KNeighborsClassifier(),0.5238095238095238,H
169,5,Eagles,BaggingClassifier(),0.6590909090909091,H
170,5,Chargers,KNeighborsClassifier(),0.5952380952380952,H
171,5,Seahawks,KNeighborsClassifier(),0.4883720930232558,H
172,5,Jets,LogisticRegression(),0.4878048780487805,H
173,5,Titans,KNeighborsClassifier(),0.3902439024390244,H
174,5,Broncos,LogisticRegression(),0.5348837209302325,H
175,5,Dolphins,LogisticRegression(),0.4878048780487805,H
176,5,Browns,KNeighborsClassifier(),0.5,H
177,5,Raiders,ExtraTreesClassifier(),0.7142857142857143,H
178,5,Packers,LogisticRegression(),0.6363636363636364,H
179,5,Giants,LogisticRegression(),0.6190476190476191,H
180,5,Chiefs,KNeighborsClassifier(),0.4883720930232558,H
181,5,Saints,LogisticRegression(),0.5116279069767442,H
182,5,Rams,KNeighborsClassifier(),0.4761904761904761,H
183,5,Redskins,LogisticRegression(),0.5853658536585366,H
184,5,Falcons,KNeighborsClassifier(),0.6190476190476191,H
185,5,Cowboys,LogisticRegression(),0.5714285714285714,H
186,5,Patriots,LogisticRegression(),0.7083333333333334,H
187,5,Bengals,KNeighborsClassifier(),0.5609756097560976,H
188,5,Steelers,KNeighborsClassifier(),0.4772727272727273,H
189,5,Bills,KNeighborsClassifier(),0.4,H
190,5,Vikings,KNeighborsClassifier(),0.6904761904761905,H
191,5,Texans,LogisticRegression(),0.5789473684210527,H
192,6,Bears,LogisticRegression(),0.5952380952380952,H
193,6,Colts,KNeighborsClassifier(),0.6511627906976745,H
194,6,Panthers,LogisticRegression(),0.6190476190476191,H
195,6,49ers,LogisticRegression(),0.6428571428571429,H
196,6,Ravens,LogisticRegression(),0.6904761904761905,H
197,6,Jaguars,KNeighborsClassifier(),0.5365853658536586,H
198,6,Buccaneers,LogisticRegression(),0.6585365853658537,H
199,6,Lions,KNeighborsClassifier(),0.45,H
200,6,Cardinals,KNeighborsClassifier(),0.5238095238095238,H
201,6,Eagles,BaggingClassifier(),0.6590909090909091,H
202,6,Chargers,KNeighborsClassifier(),0.5952380952380952,H
203,6,Seahawks,KNeighborsClassifier(),0.4883720930232558,H
204,6,Jets,LogisticRegression(),0.4878048780487805,H
205,6,Titans,KNeighborsClassifier(),0.3902439024390244,H
206,6,Broncos,LogisticRegression(),0.5348837209302325,H
207,6,Dolphins,LogisticRegression(),0.4878048780487805,H
208,6,Browns,KNeighborsClassifier(),0.5,H
209,6,Raiders,ExtraTreesClassifier(),0.7142857142857143,H
210,6,Packers,LogisticRegression(),0.6363636363636364,H
211,6,Giants,LogisticRegression(),0.6190476190476191,H
212,6,Chiefs,KNeighborsClassifier(),0.4883720930232558,H
213,6,Saints,LogisticRegression(),0.5116279069767442,H
214,6,Rams,KNeighborsClassifier(),0.4761904761904761,H
215,6,Redskins,LogisticRegression(),0.5853658536585366,H
216,6,Falcons,KNeighborsClassifier(),0.6190476190476191,H
217,6,Cowboys,LogisticRegression(),0.5714285714285714,H
218,6,Patriots,LogisticRegression(),0.7083333333333334,H
219,6,Bengals,KNeighborsClassifier(),0.5609756097560976,H
220,6,Steelers,KNeighborsClassifier(),0.4772727272727273,H
221,6,Bills,KNeighborsClassifier(),0.4,H
222,6,Vikings,KNeighborsClassifier(),0.6904761904761905,H
223,6,Texans,LogisticRegression(),0.5789473684210527,H
224,7,Bears,LogisticRegression(),0.5952380952380952,H
225,7,Colts,KNeighborsClassifier(),0.6511627906976745,H
226,7,Panthers,LogisticRegression(),0.6190476190476191,H
227,7,49ers,LogisticRegression(),0.6428571428571429,H
228,7,Ravens,LogisticRegression(),0.6904761904761905,H
229,7,Jaguars,KNeighborsClassifier(),0.5365853658536586,H
230,7,Buccaneers,LogisticRegression(),0.6585365853658537,H
231,7,Lions,KNeighborsClassifier(),0.45,H
232,7,Cardinals,KNeighborsClassifier(),0.5238095238095238,H
233,7,Eagles,BaggingClassifier(),0.6590909090909091,H
234,7,Chargers,KNeighborsClassifier(),0.5952380952380952,H
235,7,Seahawks,KNeighborsClassifier(),0.4883720930232558,H
236,7,Jets,LogisticRegression(),0.4878048780487805,H
237,7,Titans,KNeighborsClassifier(),0.3902439024390244,H
238,7,Broncos,LogisticRegression(),0.5348837209302325,H
239,7,Dolphins,LogisticRegression(),0.4878048780487805,H
240,7,Browns,KNeighborsClassifier(),0.5,H
241,7,Raiders,ExtraTreesClassifier(),0.7142857142857143,H
242,7,Packers,LogisticRegression(),0.6363636363636364,H
243,7,Giants,LogisticRegression(),0.6190476190476191,H
244,7,Chiefs,KNeighborsClassifier(),0.4883720930232558,H
245,7,Saints,LogisticRegression(),0.5116279069767442,H
246,7,Rams,KNeighborsClassifier(),0.4761904761904761,H
247,7,Redskins,LogisticRegression(),0.5853658536585366,H
248,7,Falcons,KNeighborsClassifier(),0.6190476190476191,H
249,7,Cowboys,LogisticRegression(),0.5714285714285714,H
250,7,Patriots,LogisticRegression(),0.7083333333333334,H
251,7,Bengals,KNeighborsClassifier(),0.5609756097560976,H
252,7,Steelers,KNeighborsClassifier(),0.4772727272727273,H
253,7,Bills,KNeighborsClassifier(),0.4,H
254,7,Vikings,KNeighborsClassifier(),0.6904761904761905,H
255,7,Texans,LogisticRegression(),0.5789473684210527,H
256,8,Bears,LogisticRegression(),0.5952380952380952,H
257,8,Colts,KNeighborsClassifier(),0.6511627906976745,H
258,8,Panthers,LogisticRegression(),0.6190476190476191,H
259,8,49ers,LogisticRegression(),0.6428571428571429,H
260,8,Ravens,LogisticRegression(),0.6904761904761905,H
261,8,Jaguars,KNeighborsClassifier(),0.5365853658536586,H
262,8,Buccaneers,LogisticRegression(),0.6585365853658537,H
263,8,Lions,KNeighborsClassifier(),0.45,H
264,8,Cardinals,KNeighborsClassifier(),0.5238095238095238,H
265,8,Eagles,BaggingClassifier(),0.6590909090909091,H
266,8,Chargers,KNeighborsClassifier(),0.5952380952380952,H
267,8,Seahawks,KNeighborsClassifier(),0.4883720930232558,H
268,8,Jets,LogisticRegression(),0.4878048780487805,H
269,8,Titans,KNeighborsClassifier(),0.3902439024390244,H
270,8,Broncos,LogisticRegression(),0.5348837209302325,H
271,8,Dolphins,LogisticRegression(),0.4878048780487805,H
272,8,Browns,KNeighborsClassifier(),0.5,H
273,8,Raiders,ExtraTreesClassifier(),0.7142857142857143,H
274,8,Packers,LogisticRegression(),0.6363636363636364,H
275,8,Giants,LogisticRegression(),0.6190476190476191,H
276,8,Chiefs,KNeighborsClassifier(),0.4883720930232558,H
277,8,Saints,LogisticRegression(),0.5116279069767442,H
278,8,Rams,KNeighborsClassifier(),0.4761904761904761,H
279,8,Redskins,LogisticRegression(),0.5853658536585366,H
280,8,Falcons,KNeighborsClassifier(),0.6190476190476191,H
281,8,Cowboys,LogisticRegression(),0.5714285714285714,H
282,8,Patriots,LogisticRegression(),0.7083333333333334,H
283,8,Bengals,KNeighborsClassifier(),0.5609756097560976,H
284,8,Steelers,KNeighborsClassifier(),0.4772727272727273,H
285,8,Bills,KNeighborsClassifier(),0.4,H
286,8,Vikings,KNeighborsClassifier(),0.6904761904761905,H
287,8,Texans,LogisticRegression(),0.5789473684210527,H
288,9,Bears,LogisticRegression(),0.5952380952380952,H
289,9,Colts,KNeighborsClassifier(),0.6511627906976745,H
290,9,Panthers,LogisticRegression(),0.6190476190476191,H
291,9,49ers,LogisticRegression(),0.6428571428571429,H
292,9,Ravens,LogisticRegression(),0.6904761904761905,H
293,9,Jaguars,KNeighborsClassifier(),0.5365853658536586,H
294,9,Buccaneers,LogisticRegression(),0.6585365853658537,H
295,9,Lions,KNeighborsClassifier(),0.45,H
296,9,Cardinals,KNeighborsClassifier(),0.5238095238095238,H
297,9,Eagles,BaggingClassifier(),0.6590909090909091,H
298,9,Chargers,KNeighborsClassifier(),0.5952380952380952,H
299,9,Seahawks,KNeighborsClassifier(),0.4883720930232558,H
300,9,Jets,LogisticRegression(),0.4878048780487805,H
301,9,Titans,KNeighborsClassifier(),0.3902439024390244,H
302,9,Broncos,LogisticRegression(),0.5348837209302325,H
303,9,Dolphins,LogisticRegression(),0.4878048780487805,H
304,9,Browns,KNeighborsClassifier(),0.5,H
305,9,Raiders,ExtraTreesClassifier(),0.7142857142857143,H
