GameID,Vteam,VQ1,VQ2,VQ3,VQ4,DateWeek,Year,Hteam,HQ1,HQ2,HQ3,HQ4
200009030min,Bears,7,6,7,7,9/3/2000,2000,Vikings,6,3,7,14
200009030kan,Colts,0,7,7,13,9/3/2000,2000,Chiefs,0,7,7,0
200009030was,Panthers,10,0,0,7,9/3/2000,2000,Redskins,7,0,3,10
200009030atl,49ers,7,7,7,7,9/3/2000,2000,Falcons,6,16,14,0
200009030pit,Ravens,10,3,3,0,9/3/2000,2000,Steelers,0,0,0,0
200009030cle,Jaguars,0,10,10,7,9/3/2000,2000,Browns,0,7,0,0
200009030nwe,Buccaneers,0,14,7,0,9/3/2000,2000,Patriots,3,7,0,6
200009030nor,Lions,0,6,8,0,9/3/2000,2000,Saints,7,0,0,3
200009030nyg,Cardinals,0,0,3,13,9/3/2000,2000,Giants,7,7,0,7
200009030dal,Eagles,14,10,3,14,9/3/2000,2000,Cowboys,0,6,0,8
200009030rai,Chargers,0,0,0,6,9/3/2000,2000,Raiders,0,0,2,7
200009030mia,Seahawks,0,0,0,0,9/3/2000,2000,Dolphins,10,13,0,0
200009030gnb,Jets,7,3,0,10,9/3/2000,2000,Packers,7,3,3,3
200009030buf,Titans,0,6,0,7,9/3/2000,2000,Bills,0,7,3,6
200009040ram,Broncos,7,10,10,9,9/4/2000,2000,Rams,7,14,14,6
200009100min,Dolphins,0,0,0,7,9/10/2000,2000,Vikings,3,0,0,10
200009100cin,Browns,7,7,3,7,9/10/2000,2000,Bengals,0,7,0,0
200009100clt,Raiders,0,7,24,7,9/10/2000,2000,Colts,14,10,0,7
200009100tam,Bears,0,0,0,0,9/10/2000,2000,Buccaneers,0,20,14,7
200009100buf,Packers,0,0,10,8,9/10/2000,2000,Bills,0,10,10,7
200009100rav,Jaguars,17,6,3,10,9/10/2000,2000,Ravens,0,7,15,17
200009100phi,Giants,3,17,7,6,9/10/2000,2000,Eagles,0,3,9,6
200009100oti,Chiefs,0,7,0,7,9/10/2000,2000,Titans,0,7,0,7
200009100sdg,Saints,7,6,6,9,9/10/2000,2000,Chargers,3,21,0,3
200009100sfo,Panthers,14,14,10,0,9/10/2000,2000,49ers,0,0,7,15
200009100sea,Rams,3,10,7,17,9/10/2000,2000,Seahawks,3,7,10,14
200009100det,Redskins,0,7,3,0,9/10/2000,2000,Lions,3,3,3,6
200009100den,Falcons,0,7,7,0,9/10/2000,2000,Broncos,13,21,8,0
200009100crd,Cowboys,7,14,3,7,9/10/2000,2000,Cardinals,3,10,10,9
200009110nyj,Patriots,3,9,0,7,9/11/2000,2000,Jets,7,0,0,13
200009170jax,Bengals,0,0,0,0,9/17/2000,2000,Jaguars,10,0,0,3
200009170cle,Steelers,0,10,10,0,9/17/2000,2000,Browns,14,0,3,6
200009170gnb,Eagles,0,3,0,0,9/17/2000,2000,Packers,0,0,3,3
200009170car,Falcons,3,7,0,5,9/17/2000,2000,Panthers,0,10,0,0
200009170ram,49ers,7,10,0,7,9/17/2000,2000,Rams,3,14,7,17
200009170nyj,Bills,7,7,0,0,9/17/2000,2000,Jets,7,14,3,3
200009170det,Buccaneers,14,7,3,7,9/17/2000,2000,Lions,3,7,0,0
