,GameID,Week,Day,DateStamp,Year,HQ1,HQ2,HQ3,HQ4,Time,49ers,Bears,Bengals,Bills,Broncos,Browns,Buccaneers,Cardinals,Chargers,Chiefs,Colts,Cowboys,Dolphins,Eagles,Falcons,Giants,Jaguars,Jets,Lions,Packers,Panthers,Patriots,Raiders,Rams,Ravens,Redskins,Saints,Seahawks,Steelers,Texans,Titans,Vikings
0,200009030min,1,Sun,2000-09-03,2000,6,3,7,14,1:00PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,200009030kan,1,Sun,2000-09-03,2000,0,7,7,0,1:00PM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,200009030was,1,Sun,2000-09-03,2000,7,0,3,10,1:01PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,200009030atl,1,Sun,2000-09-03,2000,6,16,14,0,1:02PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,200009030pit,1,Sun,2000-09-03,2000,0,0,0,0,1:02PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,200009030cle,1,Sun,2000-09-03,2000,0,7,0,0,1:02PM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,200009030nwe,1,Sun,2000-09-03,2000,3,7,0,6,1:02PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,200009030nor,1,Sun,2000-09-03,2000,7,0,0,3,1:03PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,200009030nyg,1,Sun,2000-09-03,2000,7,7,0,7,1:04PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,200009030dal,1,Sun,2000-09-03,2000,0,6,0,8,4:05PM,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,200009030rai,1,Sun,2000-09-03,2000,0,0,2,7,4:15PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,200009030mia,1,Sun,2000-09-03,2000,10,13,0,0,4:16PM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,200009030gnb,1,Sun,2000-09-03,2000,7,3,3,3,4:20PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,200009030buf,1,Sun,2000-09-03,2000,0,7,3,6,8:35PM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,200009040ram,1,Mon,2000-09-04,2000,7,14,14,6,9:07PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,200009100min,2,Sun,2000-09-10,2000,3,0,0,10,12:00PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,200009100cin,2,Sun,2000-09-10,2000,0,7,0,0,1:00PM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,200009100clt,2,Sun,2000-09-10,2000,14,10,0,7,1:00PM,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,200009100tam,2,Sun,2000-09-10,2000,0,20,14,7,1:01PM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,200009100buf,2,Sun,2000-09-10,2000,0,10,10,7,1:01PM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,200009100rav,2,Sun,2000-09-10,2000,0,7,15,17,1:02PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,200009100phi,2,Sun,2000-09-10,2000,0,3,9,6,1:02PM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,200009100oti,2,Sun,2000-09-10,2000,0,7,0,7,1:03PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,200009100sdg,2,Sun,2000-09-10,2000,3,21,0,3,4:15PM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,200009100sfo,2,Sun,2000-09-10,2000,0,0,7,15,4:15PM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,200009100sea,2,Sun,2000-09-10,2000,3,7,10,14,4:15PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,200009100det,2,Sun,2000-09-10,2000,3,3,3,6,4:16PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,200009100den,2,Sun,2000-09-10,2000,13,21,8,0,4:16PM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,200009100crd,2,Sun,2000-09-10,2000,3,10,10,9,8:35PM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,200009110nyj,2,Mon,2000-09-11,2000,7,0,0,13,9:09PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,200009170jax,3,Sun,2000-09-17,2000,10,0,0,3,1:02PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,200009170cle,3,Sun,2000-09-17,2000,14,0,3,6,1:02PM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,200009170gnb,3,Sun,2000-09-17,2000,0,0,3,3,1:02PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,200009170car,3,Sun,2000-09-17,2000,0,10,0,0,1:02PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,200009170ram,3,Sun,2000-09-17,2000,3,14,7,17,1:02PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,200009170nyj,3,Sun,2000-09-17,2000,7,14,3,3,1:03PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,200009170det,3,Sun,2000-09-17,2000,3,7,0,0,1:06PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,200009170chi,3,Sun,2000-09-17,2000,0,7,0,0,3:16PM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,200009170rai,3,Sun,2000-09-17,2000,7,17,0,0,4:05PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,200009170kan,3,Sun,2000-09-17,2000,0,14,14,14,4:05PM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,200009170sea,3,Sun,2000-09-17,2000,7,0,3,10,4:15PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,200009170nwe,3,Sun,2000-09-17,2000,7,0,0,6,4:15PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,200009170mia,3,Sun,2000-09-17,2000,3,3,7,6,8:36PM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,200009180was,3,Mon,2000-09-18,2000,7,0,7,7,9:01PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,200009240pit,4,Sun,2000-09-24,2000,3,3,0,14,1:01PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,200009240rav,4,Sun,2000-09-24,2000,10,14,3,10,1:02PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,200009240chi,4,Sun,2000-09-24,2000,0,0,14,0,1:02PM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,200009240nor,4,Sun,2000-09-24,2000,7,0,0,0,1:02PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,200009240atl,4,Sun,2000-09-24,2000,7,6,0,7,1:02PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,200009240mia,4,Sun,2000-09-24,2000,0,10,0,0,1:03PM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,200009240dal,4,Sun,2000-09-24,2000,0,10,0,14,1:05PM,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,200009240crd,4,Sun,2000-09-24,2000,0,3,0,0,4:06PM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,200009240tam,4,Sun,2000-09-24,2000,3,7,7,0,4:15PM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,200009240sdg,4,Sun,2000-09-24,2000,6,6,0,0,4:15PM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,200009240den,4,Sun,2000-09-24,2000,3,9,10,0,4:16PM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,200009240rai,4,Sun,2000-09-24,2000,7,21,0,8,4:17PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,200009240nyg,4,Sun,2000-09-24,2000,0,0,0,6,8:37PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,200009250clt,4,Mon,2000-09-25,2000,7,14,5,17,9:00PM,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,200010010buf,5,Sun,2000-10-01,2000,3,6,0,7,1:01PM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,200010010det,5,Sun,2000-10-01,2000,7,3,0,14,1:01PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,200010010car,5,Sun,2000-10-01,2000,0,10,0,3,1:02PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,200010010ram,5,Sun,2000-10-01,2000,17,13,17,10,1:02PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62,200010010oti,5,Sun,2000-10-01,2000,7,14,0,7,1:03PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,200010010cle,5,Sun,2000-10-01,2000,0,0,0,0,1:03PM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,200010010jax,5,Sun,2000-10-01,2000,3,3,0,7,1:03PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,200010010cin,5,Sun,2000-10-01,2000,10,3,0,3,4:05PM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,200010010den,5,Sun,2000-10-01,2000,0,3,8,8,4:06PM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,200010010sfo,5,Sun,2000-10-01,2000,7,10,7,3,4:15PM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,200010010gnb,5,Sun,2000-10-01,2000,0,3,7,14,4:15PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,200010010was,5,Sun,2000-10-01,2000,0,7,3,7,4:15PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70,200010010phi,5,Sun,2000-10-01,2000,3,3,11,21,8:36PM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,200010020kan,5,Mon,2000-10-02,2000,0,7,7,10,9:00PM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,200010080cin,6,Sun,2000-10-08,2000,0,14,0,0,1:00PM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,200010080nyj,6,Sun,2000-10-08,2000,0,3,0,0,1:01PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,200010080det,6,Sun,2000-10-08,2000,10,14,7,0,1:01PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,200010080nwe,6,Sun,2000-10-08,2000,3,7,0,14,1:02PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,200010080mia,6,Sun,2000-10-08,2000,3,10,2,7,1:02PM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,200010080phi,6,Sun,2000-10-08,2000,0,7,0,7,1:02PM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,200010080chi,6,Sun,2000-10-08,2000,7,0,0,3,1:03PM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,200010080sfo,6,Sun,2000-10-08,2000,0,14,0,14,4:00PM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,200010080atl,6,Sun,2000-10-08,2000,0,3,3,0,4:05PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,200010080car,6,Sun,2000-10-08,2000,7,13,3,3,4:15PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,200010080sdg,6,Sun,2000-10-08,2000,0,7,0,0,4:15PM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
