,GameID,Week,Day,DateStamp,Vteam,VQ1,VQ2,VQ3,VQ4,Year,Hteam,HQ1,HQ2,HQ3,HQ4,Date,Time,RQ1,RQ2,RQ3,RQ4,Win,Winner
0,200009030min,1,Sun,2000-09-03,Bears,7,6,7,7,2000,Vikings,6,3,7,14,9/3/2000,1:00PM,V,V,T,H,-3,HW
1,200009030kan,1,Sun,2000-09-03,Colts,0,7,7,13,2000,Chiefs,0,7,7,0,9/3/2000,1:00PM,T,T,T,VV,13,VW
2,200009030was,1,Sun,2000-09-03,Panthers,10,0,0,7,2000,Redskins,7,0,3,10,9/3/2000,1:01PM,V,T,H,H,-3,HW
3,200009030atl,1,Sun,2000-09-03,49ers,7,7,7,7,2000,Falcons,6,16,14,0,9/3/2000,1:02PM,V,HH,H,V,-8,HW
4,200009030pit,1,Sun,2000-09-03,Ravens,10,3,3,0,2000,Steelers,0,0,0,0,9/3/2000,1:02PM,VV,V,V,T,16,VW
5,200009030cle,1,Sun,2000-09-03,Jaguars,0,10,10,7,2000,Browns,0,7,0,0,9/3/2000,1:02PM,T,V,VV,V,20,VW
6,200009030nwe,1,Sun,2000-09-03,Buccaneers,0,14,7,0,2000,Patriots,3,7,0,6,9/3/2000,1:02PM,H,V,V,H,5,VW
7,200009030nor,1,Sun,2000-09-03,Lions,0,6,8,0,2000,Saints,7,0,0,3,9/3/2000,1:03PM,H,V,VV,H,4,VW
8,200009030nyg,1,Sun,2000-09-03,Cardinals,0,0,3,13,2000,Giants,7,7,0,7,9/3/2000,1:04PM,H,H,V,V,-5,HW
9,200009030dal,1,Sun,2000-09-03,Eagles,14,10,3,14,2000,Cowboys,0,6,0,8,9/3/2000,4:05PM,VV,V,V,V,27,VW
10,200009030rai,1,Sun,2000-09-03,Chargers,0,0,0,6,2000,Raiders,0,0,2,7,9/3/2000,4:15PM,T,T,H,H,-3,HW
11,200009030mia,1,Sun,2000-09-03,Seahawks,0,0,0,0,2000,Dolphins,10,13,0,0,9/3/2000,4:16PM,HH,HH,T,T,-23,HW
12,200009030gnb,1,Sun,2000-09-03,Jets,7,3,0,10,2000,Packers,7,3,3,3,9/3/2000,4:20PM,T,T,H,V,4,VW
13,200009030buf,1,Sun,2000-09-03,Titans,0,6,0,7,2000,Bills,0,7,3,6,9/3/2000,8:35PM,T,H,H,V,-3,HW
14,200009040ram,1,Mon,2000-09-04,Broncos,7,10,10,9,2000,Rams,7,14,14,6,9/4/2000,9:07PM,T,H,H,V,-5,HW
15,200009100min,2,Sun,2000-09-10,Dolphins,0,0,0,7,2000,Vikings,3,0,0,10,9/10/2000,12:00PM,H,T,T,H,-6,HW
16,200009100cin,2,Sun,2000-09-10,Browns,7,7,3,7,2000,Bengals,0,7,0,0,9/10/2000,1:00PM,V,T,V,V,17,VW
17,200009100clt,2,Sun,2000-09-10,Raiders,0,7,24,7,2000,Colts,14,10,0,7,9/10/2000,1:00PM,HH,H,VVV,T,7,VW
18,200009100tam,2,Sun,2000-09-10,Bears,0,0,0,0,2000,Buccaneers,0,20,14,7,9/10/2000,1:01PM,T,HHH,HH,H,-41,HW
19,200009100buf,2,Sun,2000-09-10,Packers,0,0,10,8,2000,Bills,0,10,10,7,9/10/2000,1:01PM,T,HH,T,V,-9,HW
20,200009100rav,2,Sun,2000-09-10,Jaguars,17,6,3,10,2000,Ravens,0,7,15,17,9/10/2000,1:02PM,VVV,H,HH,H,-3,HW
21,200009100phi,2,Sun,2000-09-10,Giants,3,17,7,6,2000,Eagles,0,3,9,6,9/10/2000,1:02PM,V,VV,H,T,15,VW
22,200009100oti,2,Sun,2000-09-10,Chiefs,0,7,0,7,2000,Titans,0,7,0,7,9/10/2000,1:03PM,T,T,T,T,0,T
23,200009100sdg,2,Sun,2000-09-10,Saints,7,6,6,9,2000,Chargers,3,21,0,3,9/10/2000,4:15PM,V,HHH,V,V,1,VW
24,200009100sfo,2,Sun,2000-09-10,Panthers,14,14,10,0,2000,49ers,0,0,7,15,9/10/2000,4:15PM,VV,VV,V,HHH,16,VW
25,200009100sea,2,Sun,2000-09-10,Rams,3,10,7,17,2000,Seahawks,3,7,10,14,9/10/2000,4:15PM,T,V,H,V,3,VW
26,200009100det,2,Sun,2000-09-10,Redskins,0,7,3,0,2000,Lions,3,3,3,6,9/10/2000,4:16PM,H,V,T,H,-5,HW
27,200009100den,2,Sun,2000-09-10,Falcons,0,7,7,0,2000,Broncos,13,21,8,0,9/10/2000,4:16PM,HH,HH,H,T,-28,HW
