,Year,Clump,Estimator,params,accuracy
0,0,0,LogisticRegression,NA,0.6349206349206349
1,0,1,LogisticRegression,NA,0.6349206349206349
2,0,2,LogisticRegression,NA,0.6031746031746031
3,0,3,LogisticRegression,NA,0.6666666666666666
4,0,4,LogisticRegression,NA,0.7142857142857143
5,0,5,LogisticRegression,NA,0.6190476190476191
6,0,6,LogisticRegression,NA,0.6507936507936508
7,0,7,LogisticRegression,NA,0.5873015873015873
8,0,8,LogisticRegression,NA,0.6666666666666666
9,0,9,LogisticRegression,NA,0.7142857142857143
10,0,10,LogisticRegression,NA,0.6984126984126984
11,0,11,LogisticRegression,NA,0.7936507936507936
12,0,12,LogisticRegression,NA,0.8095238095238095
13,0,13,LogisticRegression,NA,0.746031746031746
14,0,14,LogisticRegression,NA,0.8412698412698413
15,1,0,LogisticRegression,NA,0.6333333333333333
16,1,1,LogisticRegression,NA,0.6666666666666666
17,1,2,LogisticRegression,NA,0.55
18,1,3,LogisticRegression,NA,0.65
19,1,4,LogisticRegression,NA,0.7
20,1,5,LogisticRegression,NA,0.7
21,1,6,LogisticRegression,NA,0.6666666666666666
22,1,7,LogisticRegression,NA,0.6833333333333333
23,1,8,LogisticRegression,NA,0.6333333333333333
24,1,9,LogisticRegression,NA,0.7166666666666667
25,1,10,LogisticRegression,NA,0.7833333333333333
26,1,11,LogisticRegression,NA,0.7666666666666667
27,1,12,LogisticRegression,NA,0.7333333333333333
28,1,13,LogisticRegression,NA,0.7666666666666667
29,1,14,LogisticRegression,NA,0.7666666666666667
30,2,0,LogisticRegression,NA,0.6901408450704225
31,2,1,LogisticRegression,NA,0.6197183098591549
32,2,2,LogisticRegression,NA,0.5633802816901409
33,2,3,LogisticRegression,NA,0.6056338028169014
34,2,4,LogisticRegression,NA,0.676056338028169
35,2,5,LogisticRegression,NA,0.6056338028169014
36,2,6,LogisticRegression,NA,0.6619718309859155
37,2,7,LogisticRegression,NA,0.676056338028169
38,2,8,LogisticRegression,NA,0.676056338028169
39,2,9,LogisticRegression,NA,0.6338028169014085
40,2,10,LogisticRegression,NA,0.7183098591549296
41,2,11,LogisticRegression,NA,0.7323943661971831
42,2,12,LogisticRegression,NA,0.7183098591549296
43,2,13,LogisticRegression,NA,0.6619718309859155
44,2,14,LogisticRegression,NA,0.7605633802816901
45,3,0,LogisticRegression,NA,0.6567164179104478
46,3,1,LogisticRegression,NA,0.6716417910447762
47,3,2,LogisticRegression,NA,0.6417910447761194
48,3,3,LogisticRegression,NA,0.582089552238806
49,3,4,LogisticRegression,NA,0.746268656716418
50,3,5,LogisticRegression,NA,0.6567164179104478
51,3,6,LogisticRegression,NA,0.7313432835820896
52,3,7,LogisticRegression,NA,0.6865671641791045
53,3,8,LogisticRegression,NA,0.746268656716418
54,3,9,LogisticRegression,NA,0.746268656716418
55,3,10,LogisticRegression,NA,0.746268656716418
56,3,11,LogisticRegression,NA,0.8208955223880597
57,3,12,LogisticRegression,NA,0.8059701492537313
58,3,13,LogisticRegression,NA,0.7164179104477612
59,3,14,LogisticRegression,NA,0.8507462686567164
60,4,0,LogisticRegression,NA,0.6190476190476191
61,4,1,LogisticRegression,NA,0.5396825396825397
62,4,2,LogisticRegression,NA,0.5396825396825397
63,4,3,LogisticRegression,NA,0.6507936507936508
64,4,4,LogisticRegression,NA,0.746031746031746
65,4,5,LogisticRegression,NA,0.6349206349206349
66,4,6,LogisticRegression,NA,0.6349206349206349
67,4,7,LogisticRegression,NA,0.5873015873015873
68,4,8,LogisticRegression,NA,0.7142857142857143
69,4,9,LogisticRegression,NA,0.6666666666666666
70,4,10,LogisticRegression,NA,0.8095238095238095
71,4,11,LogisticRegression,NA,0.746031746031746
72,4,12,LogisticRegression,NA,0.746031746031746
73,4,13,LogisticRegression,NA,0.6666666666666666
74,4,14,LogisticRegression,NA,0.8095238095238095
75,5,0,LogisticRegression,NA,0.6176470588235294
76,5,1,LogisticRegression,NA,0.6764705882352942
77,5,2,LogisticRegression,NA,0.6617647058823529
78,5,3,LogisticRegression,NA,0.47058823529411764
79,5,4,LogisticRegression,NA,0.7205882352941176
80,5,5,LogisticRegression,NA,0.6470588235294118
81,5,6,LogisticRegression,NA,0.6470588235294118
82,5,7,LogisticRegression,NA,0.6764705882352942
83,5,8,LogisticRegression,NA,0.5441176470588235
84,5,9,LogisticRegression,NA,0.6470588235294118
85,5,10,LogisticRegression,NA,0.7058823529411765
86,5,11,LogisticRegression,NA,0.6176470588235294
87,5,12,LogisticRegression,NA,0.6911764705882353
88,5,13,LogisticRegression,NA,0.7352941176470589
89,5,14,LogisticRegression,NA,0.7794117647058824
90,6,0,LogisticRegression,NA,0.7464788732394366
91,6,1,LogisticRegression,NA,0.7746478873239436
92,6,2,LogisticRegression,NA,0.5915492957746479
93,6,3,LogisticRegression,NA,0.647887323943662
94,6,4,LogisticRegression,NA,0.8169014084507042
95,6,5,LogisticRegression,NA,0.647887323943662
96,6,6,LogisticRegression,NA,0.647887323943662
97,6,7,LogisticRegression,NA,0.7183098591549296
98,6,8,LogisticRegression,NA,0.7323943661971831
99,6,9,LogisticRegression,NA,0.7323943661971831
100,6,10,LogisticRegression,NA,0.8309859154929577
101,6,11,LogisticRegression,NA,0.6901408450704225
102,6,12,LogisticRegression,NA,0.7887323943661971
103,6,13,LogisticRegression,NA,0.7746478873239436
104,6,14,LogisticRegression,NA,0.8591549295774648
105,7,0,LogisticRegression,NA,0.582089552238806
106,7,1,LogisticRegression,NA,0.6119402985074627
107,7,2,LogisticRegression,NA,0.582089552238806
108,7,3,LogisticRegression,NA,0.6417910447761194
109,7,4,LogisticRegression,NA,0.6268656716417911
110,7,5,LogisticRegression,NA,0.6268656716417911
111,7,6,LogisticRegression,NA,0.6417910447761194
112,7,7,LogisticRegression,NA,0.6716417910447762
113,7,8,LogisticRegression,NA,0.7761194029850746
114,7,9,LogisticRegression,NA,0.7611940298507462
115,7,10,LogisticRegression,NA,0.6716417910447762
116,7,11,LogisticRegression,NA,0.6417910447761194
117,7,12,LogisticRegression,NA,0.7611940298507462
118,7,13,LogisticRegression,NA,0.7761194029850746
119,7,14,LogisticRegression,NA,0.8507462686567164
120,8,0,LogisticRegression,NA,0.5522388059701493
121,8,1,LogisticRegression,NA,0.6119402985074627
122,8,2,LogisticRegression,NA,0.7014925373134329
123,8,3,LogisticRegression,NA,0.6567164179104478
124,8,4,LogisticRegression,NA,0.6716417910447762
125,8,5,LogisticRegression,NA,0.7313432835820896
126,8,6,LogisticRegression,NA,0.7761194029850746
127,8,7,LogisticRegression,NA,0.7164179104477612
128,8,8,LogisticRegression,NA,0.7014925373134329
129,8,9,LogisticRegression,NA,0.7014925373134329
130,8,10,LogisticRegression,NA,0.746268656716418
131,8,11,LogisticRegression,NA,0.746268656716418
132,8,12,LogisticRegression,NA,0.7164179104477612
133,8,13,LogisticRegression,NA,0.8059701492537313
134,8,14,LogisticRegression,NA,0.8507462686567164
135,9,0,LogisticRegression,NA,0.6507936507936508
136,9,1,LogisticRegression,NA,0.7142857142857143
137,9,2,LogisticRegression,NA,0.6825396825396826
