,Clump,Team,Estimator,accuracy,HV
223,6,Texans,GradientBoostingClassifier(),0.8108108108108109,V
197,6,Jaguars,BaggingClassifier(),0.8095238095238095,V
222,6,Vikings,KNeighborsClassifier(),0.8095238095238095,V
196,6,Ravens,LogisticRegression(),0.8095238095238095,H
221,6,Bills,AdaBoostClassifier(),0.8048780487804879,V
208,6,Browns,LogisticRegression(),0.8048780487804879,V
211,6,Giants,DecisionTreeClassifier(),0.7857142857142857,H
195,6,49ers,MultinomialNB(),0.7857142857142857,V
220,6,Steelers,AdaBoostClassifier(),0.7727272727272727,H
212,6,Chiefs,LogisticRegression(),0.7674418604651163,H
213,6,Saints,LogisticRegression(),0.7674418604651163,H
214,6,Rams,LogisticRegression(),0.7619047619047619,H
202,6,Chargers,MultinomialNB(),0.7619047619047619,H
217,6,Cowboys,GradientBoostingClassifier(),0.7619047619047619,V
199,6,Lions,LogisticRegression(),0.7560975609756098,V
210,6,Packers,AdaBoostClassifier(),0.75,V
207,6,Dolphins,AdaBoostClassifier(),0.7317073170731707,H
204,6,Jets,AdaBoostClassifier(),0.7209302325581395,V
218,6,Patriots,LogisticRegression(),0.7209302325581395,V
194,6,Panthers,ExtraTreesClassifier(),0.7142857142857143,H
216,6,Falcons,DecisionTreeClassifier(),0.7142857142857143,V
209,6,Raiders,ExtraTreesClassifier(),0.7073170731707317,V
192,6,Bears,MultinomialNB(),0.7,V
206,6,Broncos,AdaBoostClassifier(),0.6829268292682927,V
219,6,Bengals,LogisticRegression(),0.6829268292682927,H
201,6,Eagles,DecisionTreeClassifier(),0.6818181818181818,H
205,6,Titans,RandomForestClassifier(),0.6744186046511628,V
193,6,Colts,AdaBoostClassifier(),0.6590909090909091,V
203,6,Seahawks,LogisticRegression(),0.6590909090909091,V
198,6,Buccaneers,LogisticRegression(),0.6585365853658537,H
215,6,Redskins,BaggingClassifier(),0.6341463414634146,V
200,6,Cardinals,AdaBoostClassifier(),0.6341463414634146,V
