,Clump,Team,Estimator,accuracy,HV
53,1,Saints,LogisticRegression(),0.8372093023255814,H
39,1,Lions,KNeighborsClassifier(),0.8048780487804879,V
61,1,Bills,GradientBoostingClassifier(),0.8048780487804879,V
36,1,Ravens,LogisticRegression(),0.7857142857142857,H
47,1,Dolphins,RandomForestClassifier(),0.7804878048780488,V
48,1,Browns,LogisticRegression(),0.7804878048780488,V
43,1,Seahawks,LogisticRegression(),0.7674418604651163,H
34,1,Panthers,LogisticRegression(),0.7619047619047619,H
37,1,Jaguars,LogisticRegression(),0.7560975609756098,H
59,1,Bengals,LogisticRegression(),0.7560975609756098,H
60,1,Steelers,LogisticRegression(),0.75,H
58,1,Patriots,LogisticRegression(),0.75,H
41,1,Eagles,LogisticRegression(),0.75,H
51,1,Giants,BaggingClassifier(),0.7380952380952381,H
42,1,Chargers,LogisticRegression(),0.7380952380952381,V
38,1,Buccaneers,AdaBoostClassifier(),0.7317073170731707,V
44,1,Jets,LogisticRegression(),0.7317073170731707,H
56,1,Falcons,LogisticRegression(),0.7142857142857143,V
63,1,Texans,KNeighborsClassifier(),0.7027027027027027,V
32,1,Bears,LogisticRegression(),0.7,V
62,1,Vikings,LogisticRegression(),0.6904761904761905,V
55,1,Redskins,LogisticRegression(),0.6829268292682927,H
46,1,Broncos,LogisticRegression(),0.6829268292682927,V
40,1,Cardinals,KNeighborsClassifier(),0.6829268292682927,V
57,1,Cowboys,LogisticRegression(),0.6666666666666666,V
50,1,Packers,LogisticRegression(),0.6590909090909091,H
33,1,Colts,AdaBoostClassifier(),0.6511627906976745,H
54,1,Rams,LogisticRegression(),0.6428571428571429,V
35,1,49ers,LogisticRegression(),0.6428571428571429,H
52,1,Chiefs,LogisticRegression(),0.627906976744186,H
49,1,Raiders,LogisticRegression(),0.6097560975609756,V
45,1,Titans,KNeighborsClassifier(),0.5348837209302325,V
