,Clump,Team,Estimator,accuracy,HV
0,0,Bears,7,0.425,V
1,0,Colts,12,0.3255813953488372,H
2,0,Panthers,3,0.4285714285714285,V
3,0,49ers,4,0.3809523809523809,V
4,0,Ravens,6,0.4888888888888889,V
5,0,Jaguars,12,0.4634146341463415,H
6,0,Buccaneers,0,0.4146341463414634,V
7,0,Lions,8,0.425,H
8,0,Cardinals,8,0.3902439024390244,V
9,0,Eagles,3,0.3488372093023256,V
10,0,Chargers,2,0.4523809523809524,V
11,0,Seahawks,7,0.3023255813953488,H
12,0,Jets,0,0.3720930232558139,V
13,0,Titans,0,0.3902439024390244,H
14,0,Broncos,3,0.3902439024390244,V
15,0,Dolphins,2,0.4390243902439024,V
16,0,Browns,0,0.5,H
17,0,Raiders,7,0.4634146341463415,V
18,0,Packers,1,0.5,H
19,0,Giants,3,0.4523809523809524,H
20,0,Chiefs,2,0.3902439024390244,V
21,0,Saints,3,0.3809523809523809,V
22,0,Rams,0,0.4761904761904761,H
23,0,Redskins,1,0.3170731707317073,V
24,0,Falcons,3,0.4523809523809524,H
25,0,Cowboys,1,0.4047619047619047,H
26,0,Patriots,6,0.4791666666666667,H
27,0,Bengals,6,0.4390243902439024,V
28,0,Steelers,7,0.3409090909090909,H
29,0,Bills,0,0.4,H
30,0,Vikings,3,0.5,V
31,0,Texans,9,0.4324324324324324,V
32,1,Bears,7,0.425,V
33,1,Colts,12,0.3255813953488372,H
34,1,Panthers,3,0.4285714285714285,V
35,1,49ers,4,0.3809523809523809,V
36,1,Ravens,6,0.4888888888888889,V
37,1,Jaguars,12,0.4634146341463415,H
38,1,Buccaneers,0,0.4146341463414634,V
39,1,Lions,8,0.425,H
40,1,Cardinals,8,0.3902439024390244,V
41,1,Eagles,3,0.3488372093023256,V
42,1,Chargers,2,0.4523809523809524,V
43,1,Seahawks,7,0.3023255813953488,H
44,1,Jets,0,0.3720930232558139,V
45,1,Titans,0,0.3902439024390244,H
46,1,Broncos,3,0.3902439024390244,V
47,1,Dolphins,2,0.4390243902439024,V
48,1,Browns,0,0.5,H
49,1,Raiders,7,0.4634146341463415,V
50,1,Packers,1,0.5,H
51,1,Giants,3,0.4523809523809524,H
52,1,Chiefs,2,0.3902439024390244,V
53,1,Saints,3,0.3809523809523809,V
54,1,Rams,0,0.4761904761904761,H
55,1,Redskins,1,0.3170731707317073,V
56,1,Falcons,3,0.4523809523809524,H
57,1,Cowboys,1,0.4047619047619047,H
58,1,Patriots,6,0.4791666666666667,H
59,1,Bengals,6,0.4390243902439024,V
60,1,Steelers,7,0.3409090909090909,H
61,1,Bills,0,0.4,H
62,1,Vikings,3,0.5,V
63,1,Texans,9,0.4324324324324324,V
64,2,Bears,7,0.425,V
65,2,Colts,12,0.3255813953488372,H
66,2,Panthers,3,0.4285714285714285,V
67,2,49ers,4,0.3809523809523809,V
68,2,Ravens,6,0.4888888888888889,V
69,2,Jaguars,12,0.4634146341463415,H
70,2,Buccaneers,0,0.4146341463414634,V
71,2,Lions,8,0.425,H
72,2,Cardinals,8,0.3902439024390244,V
73,2,Eagles,3,0.3488372093023256,V
74,2,Chargers,2,0.4523809523809524,V
75,2,Seahawks,7,0.3023255813953488,H
76,2,Jets,0,0.3720930232558139,V
77,2,Titans,0,0.3902439024390244,H
78,2,Broncos,3,0.3902439024390244,V
79,2,Dolphins,2,0.4390243902439024,V
80,2,Browns,0,0.5,H
81,2,Raiders,7,0.4634146341463415,V
82,2,Packers,1,0.5,H
83,2,Giants,3,0.4523809523809524,H
84,2,Chiefs,2,0.3902439024390244,V
85,2,Saints,3,0.3809523809523809,V
86,2,Rams,0,0.4761904761904761,H
87,2,Redskins,1,0.3170731707317073,V
88,2,Falcons,3,0.4523809523809524,H
89,2,Cowboys,1,0.4047619047619047,H
90,2,Patriots,6,0.4791666666666667,H
91,2,Bengals,6,0.4390243902439024,V
92,2,Steelers,7,0.3409090909090909,H
93,2,Bills,0,0.4,H
94,2,Vikings,3,0.5,V
95,2,Texans,9,0.4324324324324324,V
96,3,Bears,7,0.425,V
97,3,Colts,12,0.3255813953488372,H
98,3,Panthers,3,0.4285714285714285,V
99,3,49ers,4,0.3809523809523809,V
100,3,Ravens,6,0.4888888888888889,V
101,3,Jaguars,12,0.4634146341463415,H
102,3,Buccaneers,0,0.4146341463414634,V
103,3,Lions,8,0.425,H
104,3,Cardinals,8,0.3902439024390244,V
105,3,Eagles,3,0.3488372093023256,V
106,3,Chargers,2,0.4523809523809524,V
107,3,Seahawks,7,0.3023255813953488,H
108,3,Jets,0,0.3720930232558139,V
109,3,Titans,0,0.3902439024390244,H
110,3,Broncos,3,0.3902439024390244,V
111,3,Dolphins,2,0.4390243902439024,V
112,3,Browns,0,0.5,H
113,3,Raiders,7,0.4634146341463415,V
114,3,Packers,1,0.5,H
115,3,Giants,3,0.4523809523809524,H
116,3,Chiefs,2,0.3902439024390244,V
117,3,Saints,3,0.3809523809523809,V
